,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,95.23,33.75,43.37,63.89,81.82,214.09,5466.8,8800.7,16192.9,23397.56,22779.13,22714.84,43323.73,71763.88,34087.65,121147.76
f_1,46.95,113.94,33.41,65.11,64.08,195.27,4167.65,5904.65,11331.03,14385.03,9977.61,20466.53,42035.78,53236.26,47642.96,107458.94
d_1,25.16,35.41,117.83,47.13,79.88,234.28,4605.88,6884.12,19258.83,9081.14,21180.66,21519.38,41009.6,50767.67,79425.24,92170.66
c_1,25.71,25.66,32.79,169.59,103.45,169.4,4343.3,5246.65,2772.92,10384.16,19585.7,15542.64,39279.78,49826.79,51720.23,88250.28
b_1,21.43,33.18,26.84,38.26,209.36,236.84,4094.99,5396.66,9378.97,10883.95,18750.76,8900.0,28869.35,57023.4,41243.56,86795.22
a_1,19.54,19.64,18.78,28.26,34.67,487.08,2635.91,3835.09,7113.42,8593.35,12345.32,11591.52,14412.59,40038.35,43412.29,59955.52
h_1,7.78,15.69,11.91,18.78,20.7,63.7,2910.55,3064.37,3909.43,4746.52,6636.28,8025.62,18209.11,13947.63,21983.59,52048.76
g_1,6.85,10.52,13.74,20.6,20.62,49.37,824.16,4159.78,3265.91,2985.19,7909.44,6624.57,12915.64,17297.42,12145.18,25500.72
c_0,5.72,10.36,9.57,,15.03,48.59,1186.42,1719.18,5050.67,3165.8,5907.58,10576.0,13204.44,14756.23,18913.91,34130.46
d_0,5.79,9.9,4.36,22.15,16.14,34.19,1068.57,2019.53,2918.54,5680.98,4467.32,5373.86,11658.44,17957.43,14245.99,25829.4
f_0,4.9,4.61,9.43,13.59,13.05,41.01,990.16,1393.74,2763.33,3852.44,8095.99,4429.58,9303.39,13929.66,26717.88,22800.75
b_0,5.28,8.03,7.96,14.77,6.59,38.43,968.63,1496.29,2219.13,3013.86,5517.17,7965.37,17665.29,12983.03,12344.63,26088.6
a_0,4.52,7.55,6.71,9.67,10.38,15.61,684.89,1151.18,1836.48,2276.28,3532.66,2712.77,14913.07,10543.47,11355.21,18581.9
h_0,3.74,8.03,6.54,8.32,10.34,28.7,395.66,1274.98,1896.79,1865.24,2929.23,3246.24,6379.49,6301.03,7835.83,18972.38
e_0,2.01,6.86,5.0,8.93,13.9,24.6,651.58,1116.44,1936.91,2419.73,2545.42,3997.98,6481.68,10169.37,19601.01,15405.33
g_0,3.19,4.14,7.61,7.22,7.6,21.86,411.79,448.58,1365.48,1586.05,3598.34,2864.04,6349.16,7264.95,9411.77,9699.17
