,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.51,1.81,1.7,1.48,1.28,0.49,0.63,0.45,0.49,0.45,0.49,0.32,0.39,0.39,0.36
d_1,1.86,1.05,1.94,1.65,1.5,1.32,0.62,0.46,0.59,0.69,0.56,0.45,0.38,0.46,0.42,0.26
e_1,1.26,1.79,1.05,1.95,1.82,1.53,0.77,0.7,0.56,0.64,0.48,0.61,0.43,0.46,0.63,0.52
c_1,1.99,2.16,1.66,1.05,2.02,1.54,0.67,0.67,0.7,0.37,0.54,0.51,0.45,0.5,0.45,0.47
b_1,2.31,2.32,2.04,1.3,1.06,2.27,0.92,0.8,0.76,0.62,0.67,0.66,0.5,0.58,0.58,0.46
a_1,3.1,3.04,2.78,2.62,1.55,1.06,1.17,1.19,0.78,0.86,1.01,0.83,0.69,0.95,0.79,0.6
h_1,6.12,4.76,4.33,5.14,4.3,3.74,1.27,1.83,1.31,1.39,1.22,1.19,1.32,1.11,1.14,1.04
g_1,5.86,5.94,5.29,5.51,5.57,4.15,1.63,1.28,1.64,1.61,1.38,1.57,1.07,1.67,1.4,1.28
c_0,6.24,3.85,6.03,8.29,5.47,5.18,2.45,2.12,1.39,2.62,1.99,1.64,1.52,1.68,1.52,1.21
d_0,6.03,7.97,3.81,6.93,5.81,5.38,2.47,2.81,1.7,1.43,1.56,1.86,1.5,1.61,1.69,1.68
b_0,6.91,5.51,6.29,7.83,8.04,4.99,2.84,2.51,1.27,2.23,1.44,1.72,1.56,2.17,1.75,1.4
f_0,9.64,6.78,6.7,6.74,6.13,5.94,2.49,1.91,2.1,2.08,2.07,1.41,1.9,1.96,2.1,1.08
h_0,8.29,7.51,7.3,7.25,6.63,5.28,2.95,3.0,2.16,2.35,2.17,1.87,2.01,1.77,1.83,1.77
a_0,9.01,7.72,7.61,8.08,8.51,8.5,3.36,2.76,2.2,2.35,1.49,2.23,2.1,1.51,2.29,1.71
e_0,10.89,8.27,8.93,8.85,8.05,6.59,3.22,2.84,2.5,2.49,2.41,1.5,2.2,2.23,1.48,1.56
g_0,10.65,10.13,8.12,7.98,7.98,7.47,2.79,3.58,2.61,2.62,2.61,2.48,1.72,2.42,2.3,2.17
