,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.37,1.41,1.86,1.22,1.59,1.47,3.04,4.64,2.79,3.37,2.92,3.52,3.97,3.33,2.93,4.45
f_1,2.09,2.37,1.48,1.49,1.43,1.18,2.32,3.29,2.82,2.92,2.56,2.25,3.43,3.47,2.81,3.77
c_1,1.23,1.46,2.55,1.65,2.33,1.44,2.9,2.65,2.08,2.28,2.64,2.74,3.86,2.79,3.47,3.66
d_1,1.62,1.55,1.12,2.65,1.36,1.5,3.11,2.5,5.18,3.99,2.92,3.58,4.18,3.52,3.52,3.77
b_1,1.36,1.54,1.33,1.54,2.78,2.72,2.85,3.26,3.14,2.81,2.71,3.25,4.01,2.9,3.35,3.54
a_1,1.39,1.76,1.59,1.47,1.13,3.32,3.15,3.21,3.9,3.83,2.96,3.37,5.14,3.05,3.71,4.6
h_1,1.46,2.04,1.56,1.64,1.44,1.37,4.22,2.78,3.26,3.54,3.79,3.7,3.31,3.27,3.42,4.94
d_0,1.35,1.42,2.56,1.28,1.65,1.49,3.34,4.19,2.56,3.26,3.24,3.31,4.13,3.18,3.74,4.73
c_0,1.72,1.69,1.37,1.45,1.35,1.45,2.91,3.49,4.44,5.32,3.53,3.86,4.63,3.97,3.29,4.31
b_0,1.68,1.7,1.9,1.44,1.18,1.07,3.19,3.52,3.3,4.86,3.41,3.32,4.34,6.43,3.55,4.82
g_1,1.5,1.51,1.54,2.02,1.47,1.4,3.14,2.75,3.19,3.36,5.23,4.53,3.65,3.47,3.3,3.99
f_0,1.19,1.55,1.75,1.78,1.5,1.56,3.26,3.28,3.44,3.67,3.49,5.14,4.71,3.46,6.45,4.08
h_0,1.51,1.94,1.57,1.71,1.46,1.36,2.87,3.06,3.21,3.61,4.11,3.35,3.72,3.5,3.34,5.26
a_0,1.61,1.63,1.74,1.63,1.36,1.16,3.46,3.64,3.18,2.82,3.62,3.62,3.99,5.22,3.89,4.68
e_0,1.18,1.79,1.48,1.97,1.57,1.56,3.14,2.98,3.72,3.57,3.9,3.0,5.06,3.78,5.35,4.47
g_0,1.34,1.44,1.68,2.21,1.59,1.4,2.94,2.72,3.45,3.08,2.72,5.11,4.04,3.34,3.5,3.88
