,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.07,2.33,3.22,3.2,2.69,3.13,1.29,1.17,1.35,0.98,1.11,1.09,1.09,0.87,0.65,2.21
f_1,3.41,1.07,3.29,3.0,2.74,3.16,1.03,1.88,1.02,0.89,0.92,2.0,0.86,0.53,0.92,0.64
d_1,3.96,3.21,1.07,3.64,3.12,2.87,1.51,0.92,1.91,1.07,1.16,0.84,0.83,0.77,0.58,0.78
c_1,3.63,3.75,4.06,1.07,4.13,2.46,1.26,1.13,0.64,1.73,0.99,0.88,1.03,0.85,0.87,0.92
b_1,5.18,4.96,3.95,2.43,1.07,4.07,1.4,1.46,1.25,1.37,2.05,1.68,1.26,0.92,0.8,0.8
a_1,5.97,5.51,5.19,7.64,3.43,1.07,3.19,1.85,1.89,1.68,1.54,1.41,3.93,1.33,1.08,1.62
h_1,7.28,7.21,6.62,7.48,7.82,4.83,1.37,2.59,2.16,2.38,2.24,1.88,1.72,2.85,2.0,1.97
g_1,8.08,7.6,9.02,8.67,8.36,6.89,2.62,1.39,2.32,2.32,1.97,2.16,1.84,1.41,2.08,1.92
d_0,5.14,9.47,18.78,10.69,8.65,6.74,3.47,4.01,1.62,2.75,2.58,2.4,2.01,2.18,1.8,1.87
c_0,7.95,11.52,5.32,18.56,10.03,7.7,3.37,3.29,3.13,1.62,3.09,3.09,2.44,2.16,1.98,2.15
b_0,8.7,8.83,7.48,11.56,19.75,8.65,3.39,3.84,2.93,1.84,1.59,2.76,2.81,2.63,2.47,2.13
f_0,8.95,16.6,10.01,9.91,8.04,9.32,3.74,2.66,2.77,2.37,2.56,1.65,2.81,3.33,1.33,2.8
a_0,11.01,11.7,12.17,12.79,12.14,,4.86,5.18,4.64,3.13,2.2,3.14,1.62,2.11,2.51,3.95
h_0,10.7,16.68,10.66,11.0,11.79,8.43,6.24,6.11,3.62,3.57,3.07,2.74,4.13,4.34,2.58,2.45
g_0,14.12,13.13,17.49,13.85,15.82,12.24,4.32,8.02,4.37,3.92,3.68,4.8,3.46,2.54,4.21,3.27
e_0,13.16,20.97,16.72,14.12,15.27,9.33,4.68,5.16,3.8,5.27,4.41,2.14,3.15,3.34,3.07,1.75
