,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,1.17,1.84,2.46,3.32,21.16,41.4,31.7,38.45,40.43,54.89,108.47,125.09,154.34,128.24
f_1,1.11,1.0,1.12,1.53,1.53,2.61,16.52,24.07,26.66,30.37,34.83,37.52,62.25,82.73,93.82,133.84
d_1,0.86,0.9,1.0,0.97,1.56,2.54,13.99,17.19,28.29,18.63,26.21,30.63,67.2,81.64,74.07,70.52
c_1,0.54,0.65,1.05,1.0,1.78,2.06,12.31,13.03,14.86,20.01,23.25,24.98,54.96,55.05,77.82,74.01
b_1,0.41,0.65,0.64,0.56,1.0,2.6,9.98,14.96,17.16,20.6,23.74,22.75,43.91,58.66,55.52,52.57
a_1,0.3,0.38,0.39,0.49,0.39,1.0,7.29,9.27,7.52,7.75,10.54,11.37,24.99,37.3,35.25,43.72
h_1,0.05,0.06,0.07,0.08,0.1,0.14,1.0,1.5,1.43,1.86,1.93,2.08,3.86,4.86,4.3,6.69
d_0,0.02,0.04,0.05,0.07,0.07,0.11,0.66,1.0,1.0,1.24,1.17,1.51,3.17,3.55,3.96,4.49
c_0,0.03,0.04,0.03,0.06,0.06,0.13,0.72,0.94,1.0,1.07,1.55,1.41,2.68,3.59,3.86,3.84
g_1,0.02,0.03,0.05,0.05,0.05,0.13,0.54,0.81,0.87,1.0,1.12,1.52,2.14,2.58,3.55,3.63
b_0,0.02,0.03,0.04,0.04,0.05,0.09,0.53,0.82,0.63,0.93,1.0,1.16,2.41,4.09,2.99,3.36
f_0,0.02,0.03,0.03,0.04,0.04,0.09,0.48,0.66,0.72,0.66,0.82,1.0,2.19,2.28,3.51,2.27
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.26,0.32,0.36,0.47,0.39,0.46,1.0,1.07,1.25,1.54
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.27,0.28,0.41,0.24,0.45,0.9,1.0,1.05,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.25,0.27,0.28,0.37,0.29,0.8,0.93,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.22,0.25,0.29,0.32,0.43,0.61,0.93,0.99,1.0
