,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.93,0.09,0.19,0.11,0.08,0.08,0.07,0.06,0.06,0.07,,0.06,0.05,0.05,0.05,
d_1,0.13,0.93,0.11,0.08,0.09,,0.07,0.06,,0.1,0.06,0.06,0.07,0.04,0.04,0.03
e_1,0.08,0.08,0.93,0.1,0.1,0.07,0.08,0.05,0.09,0.07,0.07,0.06,0.07,0.06,0.03,
c_1,0.11,0.12,0.11,0.93,0.15,,0.07,0.05,0.07,,0.06,0.05,0.07,0.05,0.04,0.05
b_1,0.13,0.12,0.1,0.1,0.93,0.1,0.08,0.06,0.07,0.07,0.06,,0.06,0.06,,0.05
a_1,0.1,,0.12,,0.09,0.93,0.09,0.07,0.07,0.08,0.07,0.07,0.07,,,
h_1,0.39,0.24,0.26,0.31,0.23,0.16,0.71,0.23,0.18,0.14,0.15,0.15,,0.21,0.11,0.14
g_1,0.27,0.36,0.33,0.3,0.23,0.19,0.15,0.71,0.2,0.21,0.26,0.18,0.15,,0.1,0.13
d_0,0.37,,0.35,0.5,0.31,0.26,0.28,0.22,0.59,0.19,0.14,0.17,0.2,0.16,0.15,0.13
c_0,0.23,0.3,0.29,,0.33,0.27,0.31,0.22,0.24,0.57,0.24,0.32,0.25,0.17,0.19,0.15
f_0,,0.35,0.32,0.35,0.39,0.25,0.27,0.17,0.22,0.24,0.58,0.24,0.18,0.19,0.15,0.28
b_0,0.42,0.45,0.3,0.37,,0.24,0.26,0.18,0.3,0.15,0.19,0.56,0.26,0.18,0.24,0.18
h_0,0.78,0.46,0.42,0.38,0.46,0.3,,0.4,0.27,0.25,0.33,0.2,,0.35,0.16,0.16
g_0,0.49,0.81,0.47,0.51,0.36,,0.32,,0.35,0.35,0.37,0.29,0.18,,0.18,0.19
a_0,0.36,0.39,0.49,0.45,,,0.34,0.28,0.23,0.19,0.27,0.17,0.28,0.23,0.58,
e_0,,0.57,,0.31,0.28,,0.3,0.24,0.27,0.25,0.16,0.25,0.28,0.25,,0.57
