,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.94,0.41,0.5,0.34,0.34,0.27,0.3,0.47,0.26,0.26,0.27,0.23,0.24,0.2,0.22,0.12
f_1,0.66,0.94,0.4,0.37,0.36,0.3,0.26,0.25,0.19,0.26,0.12,0.2,0.19,0.15,0.18,0.13
c_1,0.41,0.42,0.94,0.44,0.6,0.28,0.27,0.24,0.22,0.13,0.25,0.19,0.27,0.17,0.23,0.16
d_1,0.44,0.52,0.35,0.95,0.36,0.26,0.31,0.22,0.24,0.43,0.25,0.28,0.27,0.17,0.22,0.17
b_1,0.46,0.42,0.35,0.42,0.94,0.56,0.31,0.26,0.28,0.25,0.29,0.17,0.26,0.17,0.18,0.16
a_1,0.47,0.49,0.5,0.58,0.37,0.93,0.33,0.32,0.29,0.3,0.33,0.32,0.27,0.13,0.24,0.27
h_1,0.6,0.85,0.69,0.68,0.53,0.44,0.74,0.41,0.48,0.37,0.35,0.33,0.24,0.29,0.37,0.26
d_0,0.64,0.72,1.2,0.38,0.65,0.39,0.49,0.66,0.36,0.32,0.36,0.34,0.41,0.31,0.33,0.29
g_1,0.67,0.71,0.72,0.91,0.54,0.45,0.47,0.46,0.73,0.39,0.52,0.34,0.37,0.32,0.23,0.23
c_0,0.82,0.77,0.57,0.65,0.58,0.42,0.58,0.56,0.45,0.66,0.45,0.65,0.4,0.35,0.38,0.3
f_0,0.72,0.73,0.79,0.77,0.67,0.42,0.6,0.51,0.41,0.45,0.63,0.44,0.45,0.33,0.36,0.55
b_0,0.83,0.9,0.75,0.65,0.51,0.35,0.61,0.61,0.46,0.41,0.43,0.67,0.44,0.58,0.35,0.32
h_0,0.78,1.11,0.65,0.79,0.69,0.5,0.5,0.49,0.56,0.52,0.39,0.44,0.35,0.35,0.5,0.3
a_0,0.93,0.94,0.9,0.76,0.72,0.37,0.6,0.59,0.39,0.46,0.47,0.43,0.45,0.63,0.42,0.35
g_0,0.85,0.78,0.72,1.11,0.79,0.49,0.57,0.55,0.39,0.55,0.67,0.48,0.41,0.36,0.37,0.37
e_0,0.65,0.92,0.91,0.91,0.84,0.41,0.67,0.56,0.58,0.59,0.37,0.48,0.53,0.41,0.43,0.6
