,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12089.68,3245.66,3079.01,5034.15,6244.1,24365.36,3393578.94,13870022.63,5281392.69,8989289.66,19307335.3,30558320.99,80211982.59,73480339.57,110098843.1,156152104.83
f_1,5674.58,15147.54,3378.09,2471.91,4797.11,21450.52,2736573.78,5829118.55,5437999.17,11529067.17,7363406.25,20867623.91,88745658.79,67597167.58,135878006.48,141604442.51
d_1,2115.36,3685.3,19023.97,3072.24,6749.47,24344.56,3130018.45,3045580.75,6840244.2,19333901.2,18707290.82,25168518.0,80273352.0,104657836.71,96118980.75,177332369.15
c_1,1920.24,2708.61,3537.55,18948.0,13858.41,25020.21,3286373.64,6968597.26,5058536.83,2926419.45,19004834.33,16451265.07,92601619.63,101448680.07,88051677.91,185888806.56
b_1,2386.86,2803.79,4033.0,3964.1,37798.4,52709.62,2880804.42,6803930.05,4932202.27,8428677.4,18552067.72,11248939.82,90532082.4,113375530.92,78801929.9,185433375.78
a_1,2289.76,4209.6,4164.03,3894.5,5522.35,211550.46,2583501.84,7471139.93,6430083.79,6710508.33,16907916.25,22225276.55,110320301.49,134419138.28,65292448.25,165303776.1
h_1,2522.79,5440.69,5083.95,4965.07,7102.36,24789.19,10390503.97,7450613.68,10543245.43,10938184.04,19827010.18,30404933.64,62224379.94,127094356.39,163723104.47,315086855.9
d_0,2921.86,3620.91,2607.19,8919.09,8107.49,30045.82,4063132.57,16557246.67,7302669.74,8173182.73,23455403.69,34505500.24,106281070.32,138454213.95,162316031.63,215481682.39
g_1,2677.42,3361.08,6759.99,4972.9,7855.31,30678.8,3752356.58,6443028.05,24325362.38,10598620.63,34333268.72,25579718.14,99600674.44,132442386.24,133208061.14,125979951.98
c_0,3867.2,4318.09,5952.96,2295.56,5080.44,30836.76,4246651.09,9435912.66,7025122.12,26378855.65,22815245.02,59070629.8,108375702.06,125117471.01,179685250.61,256824158.61
f_0,2409.81,2261.51,4976.61,5937.09,8944.63,36280.41,3911633.32,9566421.54,8972521.38,10719929.62,51631987.32,30998180.12,104571257.41,284000168.44,162962439.05,227923653.5
b_0,3020.32,5276.56,4448.35,5361.96,3021.94,18393.42,4451521.3,9204296.71,9089446.1,11861841.32,20939563.56,75587429.23,103692196.61,160595573.71,352663803.86,242861770.95
h_0,3025.91,5618.7,4634.06,4591.78,6871.72,34270.62,2743800.64,9711452.38,10174049.99,12378966.35,21530402.12,28238686.04,68602786.26,127537112.68,119984780.3,277819638.49
e_0,1665.86,4727.99,4361.34,5105.48,7208.63,28401.47,4503502.58,8759424.94,8680198.54,13432495.4,20297073.03,30616591.58,144972909.26,417052620.51,196516493.95,258717593.91
a_0,3906.1,3849.48,4853.19,5203.72,7035.92,15616.31,4842372.03,9040111.22,8283345.14,14814934.53,20780012.77,32244755.73,97898882.27,113623494.9,387324093.72,226928506.18
g_0,2625.79,3484.63,8272.37,4230.65,7822.35,30755.81,3679997.09,7560936.13,5274754.99,15223059.44,37120439.0,27926420.28,112259104.79,140104342.47,173173039.69,139211928.46
