,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,4.3,3.78,3.92,4.11,3.53,0.84,1.26,0.84,0.78,0.78,1.69,0.43,0.66,0.67,0.66
e_1,2.38,1.12,5.44,4.5,4.44,4.9,1.27,1.4,1.1,1.06,1.09,1.22,0.69,1.13,0.8,1.73
d_1,4.71,5.79,1.11,5.67,5.41,4.01,1.29,0.84,1.91,0.78,0.9,0.78,0.65,0.87,0.42,0.9
c_1,4.81,4.36,6.13,1.13,4.65,5.29,1.44,1.39,0.56,1.71,0.99,0.99,0.74,1.1,0.74,0.92
b_1,6.46,5.07,6.25,3.09,1.13,5.65,2.08,1.9,1.43,1.82,2.91,1.24,0.87,1.27,0.98,1.37
a_1,9.84,7.62,8.29,8.3,3.92,1.14,3.05,2.51,1.84,2.06,2.05,1.76,1.37,3.5,1.25,1.68
h_1,16.51,15.14,12.78,14.61,14.46,14.68,1.76,4.37,3.6,2.78,2.83,2.99,3.62,2.63,2.86,3.06
g_1,17.75,20.5,17.04,20.61,19.7,15.97,3.83,1.81,4.79,3.59,3.57,3.98,2.15,3.59,3.82,3.95
d_0,20.75,9.86,33.91,21.32,18.88,19.76,5.31,6.31,2.2,3.82,3.98,3.67,3.32,4.49,3.37,4.26
c_0,26.75,21.72,10.97,35.36,23.84,16.77,5.18,5.83,5.78,2.25,4.39,3.35,3.59,4.76,3.12,4.32
b_0,24.82,18.81,15.46,34.97,43.14,19.38,5.64,6.26,3.99,2.09,2.16,3.78,3.01,4.07,2.62,3.52
f_0,38.76,22.25,23.91,23.05,26.39,23.48,7.45,4.18,5.73,5.55,5.43,2.24,3.59,4.49,2.07,4.91
h_0,28.56,34.1,25.56,28.81,21.74,22.18,13.9,8.63,6.44,5.01,5.69,5.62,5.56,4.82,4.1,4.1
a_0,33.91,35.43,29.15,29.64,39.39,49.9,8.87,8.22,7.61,5.05,3.55,5.69,4.2,2.47,4.1,4.63
g_0,41.28,34.75,34.26,40.42,35.3,34.41,7.07,15.5,8.7,6.05,6.78,6.49,3.8,7.31,6.18,6.0
e_0,58.43,54.46,32.26,39.39,38.83,44.36,9.93,11.96,6.38,5.99,6.94,3.4,5.86,5.81,4.53,2.57
