,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.98,1.11,0.92,0.71,0.44,0.49,0.41,0.57,0.39,0.43,0.37,0.34,0.35,0.37
f_1,1.34,1.0,0.85,0.9,0.85,0.72,0.41,0.48,0.37,0.38,0.41,0.32,0.29,0.32,0.23,0.32
d_1,1.02,1.2,1.0,0.94,0.87,0.79,0.5,0.39,0.56,0.47,0.42,0.41,0.37,0.4,0.33,0.28
c_1,0.91,1.11,1.09,1.0,1.35,0.75,0.51,0.54,0.36,0.35,0.39,0.39,0.39,0.32,0.36,0.32
b_1,1.08,1.18,1.14,0.73,1.0,1.24,0.59,0.51,0.57,0.5,0.43,0.45,0.48,0.37,0.4,0.34
a_1,1.42,1.37,1.28,1.34,0.81,1.0,0.78,0.6,0.62,0.6,0.72,0.6,0.62,0.56,0.5,0.42
h_1,2.3,2.45,1.99,1.93,1.61,1.31,1.0,1.14,0.89,0.78,0.8,0.89,0.74,0.68,0.59,0.82
g_1,2.07,2.0,2.48,1.95,2.03,1.59,0.93,1.0,0.93,0.88,0.92,1.19,0.66,0.71,0.72,0.59
c_0,2.36,2.53,1.74,2.63,1.91,1.59,1.1,1.03,1.0,1.15,1.26,0.94,0.89,0.86,0.91,0.73
d_0,1.78,2.7,2.23,2.96,2.08,1.61,1.27,1.1,0.82,1.0,0.92,0.89,0.9,0.69,0.78,0.71
b_0,2.45,2.52,2.37,2.62,2.29,1.33,1.27,1.09,0.8,1.06,1.0,0.96,0.84,1.19,0.75,0.73
f_0,2.15,3.0,2.4,2.68,2.19,1.72,1.14,0.84,1.07,1.04,1.05,1.0,1.02,0.95,1.37,0.66
h_0,2.57,3.47,2.74,2.49,2.24,1.55,1.32,1.54,1.08,1.11,1.18,0.95,1.0,1.05,0.95,0.93
a_0,2.87,3.14,2.53,3.07,2.43,2.13,1.53,1.43,1.22,1.51,0.84,1.15,0.97,1.0,1.15,0.96
e_0,3.07,4.1,3.07,2.89,2.51,2.09,1.73,1.38,1.23,1.24,1.31,0.86,1.18,0.89,1.0,0.99
g_0,2.72,3.08,3.7,3.15,2.88,2.28,1.18,1.68,1.34,1.29,1.38,1.49,1.05,1.07,1.04,1.0
