,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,94.05,13.39,12.25,21.89,30.34,87.88,2446.79,6646.69,2992.84,,6525.16,7863.3,17583.8,20477.22,21826.65,28124.97
f_1,9.25,109.24,21.94,19.48,30.19,77.73,1879.85,3388.81,3390.37,5081.5,6320.07,,16381.53,16763.69,18438.02,24693.85
e_1,11.82,10.7,119.29,20.87,29.39,83.33,1567.07,3210.22,2420.37,6037.32,5347.13,9385.99,16186.49,16683.94,24065.27,
c_1,9.64,10.97,11.83,180.54,40.51,63.82,1035.81,,2615.09,3098.85,3716.15,4758.91,17377.75,14726.03,23825.83,27781.85
b_1,8.49,8.57,9.97,13.25,220.09,,1535.8,2936.75,2202.4,2954.33,,7728.37,15187.26,12068.66,21805.56,13974.74
a_1,5.02,8.17,6.54,12.42,,502.48,948.9,2092.65,1867.47,2105.46,4284.62,4826.65,9539.0,,16963.54,
h_1,4.18,6.39,6.66,14.27,10.78,30.4,3031.01,1695.12,1979.03,1995.62,2436.09,3431.99,,9018.87,16473.14,8702.36
c_0,3.44,4.95,5.9,,11.85,30.79,874.12,3862.64,1335.05,2177.21,4206.95,3524.57,8056.86,10401.31,13746.33,11077.98
g_1,5.35,3.59,5.25,10.04,10.21,28.9,636.78,1281.85,4972.95,922.57,2197.67,4405.52,6829.63,7743.63,,8295.97
d_0,,4.96,6.07,15.15,14.58,30.91,761.87,1339.88,1675.19,4611.79,3092.16,2926.9,7297.56,5560.9,8023.84,8316.61
b_0,3.2,4.95,5.47,10.09,,25.23,720.27,1063.41,1347.85,1032.94,5886.24,3542.3,6783.0,13669.44,11184.25,9637.18
f_0,3.83,,3.53,8.87,7.97,21.76,581.36,1392.23,1174.33,1792.18,1573.55,7601.16,4760.81,5387.35,10075.46,17316.48
h_0,3.9,5.44,5.18,6.15,8.14,23.36,,941.22,1116.82,1516.62,1978.76,2961.45,,7166.7,13621.85,9044.91
a_0,2.62,3.03,2.94,4.64,8.61,,565.35,779.91,725.11,1062.54,843.85,2103.17,5512.39,15604.46,9787.16,7593.33
g_0,4.68,4.34,3.34,7.0,7.32,18.87,432.49,1007.52,,1359.05,1616.24,2924.01,4515.13,4254.46,,8826.89
e_0,2.37,3.29,,3.79,8.73,,594.37,757.72,1019.5,1102.11,1452.77,1452.96,3835.36,4526.14,5145.27,19019.16
