,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,0.7,0.58,0.66,0.65,0.59,0.15,0.14,0.13,0.21,0.13,0.21,0.11,0.07,0.11,0.12
c_1,0.64,0.16,0.5,0.65,1.08,0.66,0.16,0.07,0.25,0.19,0.13,0.11,0.15,0.09,0.13,0.1
e_1,0.41,0.74,0.16,0.69,0.63,0.68,0.2,0.15,0.14,0.21,0.14,0.18,0.12,0.12,0.29,0.11
b_1,0.81,0.34,0.66,0.15,0.71,0.7,0.22,0.14,0.2,0.24,0.25,0.14,0.16,0.1,0.13,0.1
d_1,0.66,0.68,0.91,0.65,0.14,0.51,0.17,0.28,0.13,0.1,0.13,0.14,0.16,0.11,0.12,0.06
a_1,0.71,0.77,0.79,0.36,0.57,0.1,0.22,0.17,0.14,0.23,0.17,0.13,0.3,0.1,0.15,0.11
h_1,0.56,0.59,0.44,0.48,0.53,0.48,0.06,0.11,0.12,0.18,0.11,0.1,0.1,0.15,0.1,0.07
d_0,0.58,0.52,0.3,0.59,0.88,0.63,0.16,0.06,0.11,0.17,0.09,0.09,0.1,0.06,0.12,0.08
c_0,0.54,1.29,0.53,0.56,0.27,0.54,0.17,0.18,0.06,0.14,0.1,0.1,0.12,0.08,0.11,0.08
g_1,0.5,0.53,0.57,0.51,0.52,0.56,0.11,0.13,0.12,0.05,0.11,0.11,0.11,0.06,0.1,0.12
b_0,0.44,0.97,0.5,0.9,0.39,0.48,0.14,0.17,0.06,0.14,0.05,0.09,0.1,0.07,0.1,0.07
f_0,0.98,0.63,0.54,0.51,0.35,0.44,0.17,0.11,0.09,0.09,0.11,0.05,0.1,0.08,0.09,0.05
a_0,0.55,0.64,0.5,0.68,0.47,0.89,0.15,0.12,0.08,0.16,0.05,0.09,0.04,0.07,0.09,0.07
h_0,0.46,0.55,0.5,0.58,0.48,0.55,0.19,0.1,0.09,0.14,0.1,0.1,0.09,0.12,0.1,0.07
e_0,0.59,0.56,1.07,0.43,0.41,0.47,0.17,0.1,0.1,0.13,0.1,0.05,0.09,0.07,0.04,0.05
g_0,0.52,0.51,0.5,0.55,0.47,0.49,0.12,0.12,0.11,0.23,0.08,0.1,0.12,0.06,0.09,0.11
