,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.15,46.34,82.12,61.69,78.68,126.47,23.18,20.24,26.83,14.05,15.86,17.28,19.32,13.1,11.66,
f_1,89.33,1.15,74.82,78.65,101.62,111.59,19.23,17.64,19.52,18.88,12.91,,19.32,7.12,13.32,10.53
d_1,160.04,88.37,1.15,78.65,90.33,118.56,21.02,,14.0,23.23,17.34,16.76,23.61,13.1,7.61,17.05
c_1,137.18,95.0,116.1,1.15,101.62,94.85,30.13,9.3,29.27,,22.2,17.84,19.32,15.04,13.81,18.84
b_1,192.05,122.58,146.39,68.39,1.15,145.92,31.17,19.11,40.25,22.37,,26.33,,36.91,14.35,25.57
a_1,160.04,211.11,153.05,209.73,116.14,1.15,43.05,36.21,46.0,30.2,42.69,26.33,,15.62,33.91,
h_1,101.08,73.08,76.52,101.48,67.75,82.48,2.0,18.59,26.83,23.23,17.34,18.43,15.18,,10.97,21.06
d_0,49.24,105.56,,82.79,121.95,79.04,33.48,2.95,33.89,15.1,21.35,20.48,13.28,10.41,16.22,13.77
g_1,147.73,140.74,124.7,104.87,110.86,111.59,25.11,23.72,2.0,28.76,30.83,42.54,,11.94,,32.55
c_0,81.72,86.36,56.12,,162.6,126.47,23.18,21.5,29.27,3.1,20.56,23.04,23.61,15.04,19.63,17.9
b_0,81.72,146.15,120.25,131.08,,158.08,30.13,24.57,28.0,15.89,2.92,29.11,26.56,15.04,10.66,29.83
f_0,120.03,,105.22,125.84,106.04,135.5,30.13,27.52,17.41,17.76,27.75,2.94,26.56,19.33,9.1,23.87
a_0,137.18,172.73,146.39,157.3,,,33.48,36.21,,43.14,17.34,19.75,2.91,20.3,31.08,
h_0,87.3,95.0,120.25,112.36,87.11,59.28,,19.11,40.25,15.89,22.2,19.75,18.48,,15.54,22.38
g_0,116.39,118.75,134.68,224.71,152.44,67.75,32.29,25.48,,17.26,24.13,19.75,17.71,11.28,,14.92
e_0,,316.67,153.05,196.62,110.86,,34.77,34.4,40.25,43.14,39.64,18.43,,21.37,31.08,3.25
