,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.45,2.12,2.39,2.18,1.95,0.96,0.86,0.93,0.63,0.66,0.77,0.51,0.6,0.61,0.93
f_1,2.42,1.06,1.91,2.36,1.79,1.98,0.58,0.84,0.67,0.57,0.6,0.95,0.38,0.54,0.41,0.51
d_1,2.58,2.73,1.06,2.42,2.04,1.87,0.96,0.64,1.29,0.84,0.65,0.69,0.54,0.63,0.37,0.58
c_1,2.14,2.63,2.63,1.06,3.07,1.89,0.94,0.86,0.46,0.94,0.57,0.62,0.54,0.54,0.54,0.6
b_1,2.9,3.24,3.24,1.55,1.07,2.86,1.13,1.15,0.75,1.03,1.56,0.82,0.66,0.8,0.65,0.67
a_1,4.12,3.78,3.49,4.48,2.14,1.07,1.86,1.45,1.23,1.22,1.49,1.13,0.95,1.42,0.88,0.89
h_1,5.57,7.22,5.71,5.74,5.78,4.55,1.34,2.16,1.76,1.7,1.55,1.63,2.03,1.66,1.41,1.21
g_1,6.92,6.83,7.31,6.48,6.66,5.97,2.06,1.33,2.33,1.83,1.82,1.97,1.32,1.84,1.79,1.59
d_0,4.29,7.98,8.71,8.13,7.9,5.71,2.55,2.81,1.54,1.87,2.04,1.8,1.95,1.72,2.01,1.46
c_0,7.33,8.23,4.74,11.03,6.13,5.31,3.02,3.66,2.65,1.51,2.99,1.96,1.96,1.87,1.78,1.94
b_0,8.05,7.83,7.57,13.53,11.84,5.93,2.91,2.92,2.35,1.32,1.52,2.12,1.78,2.43,1.42,1.75
f_0,7.59,13.19,7.44,7.71,7.22,6.0,3.58,2.17,2.91,2.79,2.34,1.49,1.86,2.4,1.42,2.18
h_0,11.13,10.74,9.12,9.73,8.59,7.38,4.5,3.82,2.6,2.53,2.98,2.45,3.13,2.29,2.39,1.99
a_0,10.69,11.58,10.16,11.82,10.82,13.25,3.69,3.75,3.2,3.25,1.9,2.91,2.67,1.57,2.14,2.34
g_0,10.88,13.83,12.7,12.22,11.66,9.06,3.57,4.79,3.37,3.11,3.18,3.22,1.82,3.14,2.69,2.32
e_0,14.05,15.86,13.04,10.87,11.59,10.47,5.59,4.19,3.89,3.16,3.87,2.08,3.17,3.78,2.15,1.64
