,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,1.3,1.5,2.65,3.27,23.54,29.83,32.06,54.73,40.46,46.56,68.82,71.02,,131.46
f_1,1.35,1.0,1.22,1.57,1.88,3.59,14.16,32.61,23.33,27.71,35.18,,52.29,75.28,77.99,87.95
d_1,0.77,0.82,1.0,1.62,1.63,2.79,18.16,39.1,23.67,,30.18,38.46,61.47,58.02,88.16,60.28
c_1,0.67,0.64,0.62,1.0,1.88,1.89,12.56,,22.2,12.23,23.58,29.85,43.18,44.04,53.63,66.98
b_1,0.38,0.53,0.62,0.53,1.0,1.93,11.22,11.01,11.36,15.52,,22.13,36.2,30.38,42.72,48.99
a_1,0.31,0.28,0.36,0.53,0.52,1.0,6.56,9.26,9.48,8.46,11.89,13.14,26.62,,,33.32
h_1,0.04,0.07,0.06,0.08,0.09,0.15,1.0,1.27,1.98,2.05,1.81,2.4,,3.42,3.5,5.74
c_0,0.03,0.03,0.03,,0.09,0.11,0.79,1.0,1.12,0.91,1.74,1.75,3.39,2.86,3.21,3.95
g_1,0.03,0.04,0.04,0.05,0.09,0.11,0.51,0.89,1.0,1.01,1.17,1.44,1.86,,2.59,
d_0,0.02,0.04,,0.08,0.06,0.12,0.49,1.1,0.99,1.0,1.29,1.07,2.3,1.72,2.63,3.29
b_0,0.02,0.03,0.03,0.04,,0.08,0.55,0.57,0.86,0.77,1.0,1.33,1.72,3.14,2.48,2.9
f_0,0.02,,0.03,0.03,0.05,0.08,0.42,0.57,0.69,0.93,0.75,1.0,1.52,1.66,2.8,2.06
h_0,0.01,0.02,0.02,0.02,0.03,0.04,,0.3,0.54,0.43,0.58,0.66,,0.71,1.04,1.5
a_0,0.01,0.01,0.02,0.02,0.03,,0.29,0.35,,0.58,0.32,0.6,1.41,1.0,1.26,1.08
e_0,,0.01,0.01,0.02,0.02,,0.29,0.31,0.39,0.38,0.4,0.36,0.96,0.79,1.0,1.15
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.17,0.25,,0.3,0.34,0.49,0.67,0.93,0.87,
