,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.34,0.47,0.28,0.23,0.3,0.24,0.62,0.68,0.68,0.58,0.43,,0.66,,0.54,0.8
e_1,0.24,2.36,0.28,0.27,0.23,0.35,0.53,0.85,0.52,0.48,0.66,0.67,0.84,,0.66,0.84
c_1,0.28,0.24,2.54,0.3,0.45,0.29,0.57,0.54,,0.59,0.54,0.6,0.89,0.71,0.63,0.68
d_1,0.37,0.3,0.21,2.58,0.28,0.22,0.45,,0.94,0.48,0.63,0.66,0.98,0.58,0.65,0.63
b_1,0.3,0.25,0.25,0.29,2.71,0.52,0.65,0.58,0.58,0.4,,0.61,0.84,0.74,,0.53
a_1,0.29,0.22,0.21,0.27,0.25,3.2,0.65,0.7,0.69,0.66,,0.69,0.7,,,0.79
h_1,0.66,0.53,0.45,0.6,0.48,0.46,3.89,1.23,0.91,1.56,1.23,1.35,,1.27,1.28,1.78
d_0,0.54,0.6,1.09,,0.56,0.55,1.13,3.34,1.44,1.09,1.64,1.22,1.79,1.61,1.13,1.61
c_0,0.46,0.72,,0.55,0.62,0.61,1.75,1.33,3.58,1.25,1.86,1.53,1.6,1.12,1.47,1.87
g_1,0.47,0.43,0.55,0.81,0.55,0.5,0.64,1.14,1.43,4.4,1.17,1.8,1.43,,,
b_0,0.8,0.65,0.56,0.56,,,1.36,1.05,1.33,1.11,3.9,1.37,1.86,,2.14,1.94
f_0,,0.57,0.84,0.63,0.64,0.48,1.3,1.55,1.14,0.9,1.37,3.93,1.78,3.0,,1.48
h_0,1.0,0.61,0.66,0.53,0.73,0.81,,1.83,2.13,1.92,2.02,1.16,,1.46,1.82,2.58
e_0,,,0.64,0.81,0.67,,0.96,1.83,1.47,,,1.17,1.67,4.66,,2.03
a_0,0.71,0.6,0.63,0.65,,,0.96,1.63,1.13,,1.4,,1.99,,4.84,
g_0,0.59,0.68,0.72,1.27,0.85,0.74,1.41,1.4,1.8,,1.43,2.56,1.83,1.52,,
