,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.8,1.13,1.67,2.0,2.95,20.15,31.22,43.08,29.26,46.96,47.34,75.58,102.87,126.98,119.81
f_1,1.23,1.0,1.07,1.29,1.79,2.79,15.39,30.78,31.46,30.92,39.31,42.67,61.28,72.29,104.09,98.49
d_1,0.9,0.92,1.0,1.14,1.49,2.3,16.95,20.3,27.05,32.4,35.75,36.84,60.36,76.99,74.03,84.36
c_1,0.59,0.78,0.9,1.0,2.02,2.33,14.12,22.26,16.67,20.11,26.66,25.85,53.34,59.11,73.19,79.81
b_1,0.49,0.55,0.67,0.5,1.0,2.26,11.65,18.27,15.49,18.52,20.87,20.37,38.71,54.63,56.05,52.11
a_1,0.34,0.36,0.44,0.42,0.44,1.0,6.61,10.3,10.27,10.39,14.1,15.52,24.57,27.31,34.04,36.51
h_1,0.05,0.06,0.06,0.07,0.08,0.15,1.0,1.91,1.67,1.67,2.01,2.18,3.95,4.78,5.77,5.01
g_1,0.03,0.03,0.05,0.05,0.05,0.1,0.54,1.0,1.02,1.06,1.69,1.41,1.84,2.99,3.76,3.76
d_0,0.02,0.03,0.04,0.06,0.07,0.1,0.6,0.94,1.0,0.77,1.3,1.31,2.16,3.28,3.63,3.46
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.61,0.95,1.27,1.0,1.37,1.89,2.24,2.99,3.11,4.51
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.5,0.57,0.78,0.71,1.0,1.09,1.72,3.18,2.11,2.52
b_0,0.02,0.02,0.03,0.04,0.05,0.06,0.44,0.73,0.81,0.54,0.95,1.0,1.72,2.31,2.36,3.84
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.26,0.53,0.45,0.44,0.56,0.59,1.0,1.19,1.76,1.54
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.34,0.3,0.3,0.33,0.44,0.84,1.0,0.97,1.14
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.27,0.28,0.31,0.47,0.4,0.56,0.99,1.0,1.03
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.27,0.31,0.22,0.41,0.27,0.63,0.93,0.97,1.0
