,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.29,0.93,0.97,0.8,0.7,0.59,0.71,0.58,0.59,0.63,0.59,0.51,0.39,0.54,0.61
e_1,0.78,1.0,1.03,1.12,0.93,0.93,0.77,0.76,0.59,0.91,0.65,0.81,0.58,0.7,0.64,0.61
d_1,1.08,0.98,1.0,0.88,0.96,0.82,0.71,0.52,0.9,0.58,0.67,0.62,0.57,0.6,0.51,0.46
c_1,1.04,0.89,1.13,1.0,1.48,0.84,0.7,0.73,0.57,0.47,0.58,0.58,0.55,0.59,0.55,0.54
b_1,1.25,1.07,1.04,0.67,1.0,1.18,0.74,0.72,0.72,0.71,0.62,0.66,0.75,0.6,0.55,0.57
a_1,1.42,1.06,1.23,1.18,0.84,1.0,0.96,0.82,0.89,0.81,0.88,0.73,0.79,0.79,0.81,0.69
h_1,1.7,1.32,1.43,1.39,1.37,1.03,1.0,1.04,0.84,0.82,0.79,0.94,0.8,0.7,0.82,1.03
g_1,1.35,1.32,1.8,1.36,1.45,1.31,0.99,1.0,0.83,0.86,0.92,1.18,0.75,0.83,0.83,0.73
c_0,1.72,1.77,1.09,1.72,1.21,1.15,1.17,1.16,1.0,1.33,1.54,1.01,0.97,0.96,0.94,0.84
d_0,1.56,1.14,1.6,2.17,1.49,1.19,1.22,1.17,0.74,1.0,0.94,0.91,0.9,1.07,0.96,0.93
b_0,1.58,1.46,1.44,1.92,1.55,1.17,1.26,1.1,0.69,1.07,1.0,0.96,1.03,0.95,1.35,0.9
f_0,1.66,1.2,1.65,1.77,1.43,1.33,1.08,0.83,1.01,1.06,1.02,1.0,1.03,1.59,0.94,0.68
h_0,1.92,1.78,1.72,1.87,1.32,1.36,1.22,1.38,1.07,1.05,1.01,0.99,1.0,0.81,0.95,0.99
e_0,2.53,1.59,1.59,1.78,1.65,1.29,1.47,1.19,1.01,0.95,1.08,0.66,1.24,1.0,1.01,0.92
a_0,1.85,1.6,1.83,1.91,1.79,1.25,1.24,1.24,1.1,1.1,0.76,1.02,1.1,0.99,1.0,1.06
g_0,1.71,1.71,2.24,1.82,1.63,1.48,0.95,1.28,1.16,1.02,1.2,1.39,1.05,1.06,0.94,1.0
