,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.21,1.84,2.15,2.3,1.62,0.62,0.6,0.85,0.55,0.63,0.72,0.37,0.47,0.47,0.54
e_1,1.6,1.06,2.12,2.44,1.91,2.09,1.04,0.82,0.93,0.79,0.54,0.71,0.55,0.63,1.18,0.57
d_1,2.72,2.65,1.06,2.22,1.98,1.84,0.83,1.24,0.59,0.77,0.63,0.52,0.57,0.55,0.6,0.34
c_1,2.28,2.13,3.35,1.06,2.64,1.96,0.99,0.46,0.87,0.98,0.65,0.7,0.59,0.61,0.63,0.54
b_1,2.81,3.35,2.96,1.69,1.07,3.08,1.21,0.91,0.97,0.88,1.46,0.6,0.61,0.64,0.55,0.53
a_1,4.54,3.41,3.6,4.23,1.84,1.07,1.56,1.22,1.28,1.16,1.34,1.15,0.75,1.88,1.17,0.9
h_1,6.24,5.57,5.64,5.58,5.23,4.6,1.32,1.78,2.71,1.6,1.58,1.69,1.8,1.32,1.48,1.23
d_0,6.9,4.4,10.39,7.94,6.98,6.68,2.75,1.53,2.51,2.22,1.8,2.07,1.5,1.9,1.71,1.68
g_1,7.12,7.2,7.75,7.58,6.94,5.64,1.86,2.52,1.37,1.62,1.81,1.96,1.31,1.98,1.58,1.54
c_0,8.37,7.09,4.35,12.32,7.79,5.82,2.94,2.91,3.17,1.51,2.34,2.05,1.67,1.93,1.79,1.54
b_0,8.93,9.24,7.51,9.73,14.42,6.05,3.37,2.8,2.73,1.63,1.6,2.39,1.72,2.6,2.06,1.57
f_0,15.61,9.28,9.74,9.57,10.81,6.41,4.13,2.87,2.12,2.69,2.38,1.62,2.0,2.21,2.47,1.35
h_0,12.32,10.46,8.82,9.65,12.01,8.11,4.96,3.21,4.13,2.95,2.91,2.33,2.84,2.92,2.4,2.43
a_0,15.9,10.22,9.36,10.99,14.7,9.78,4.4,4.06,3.72,2.65,1.78,2.84,2.28,1.65,3.27,2.09
e_0,16.25,12.45,9.59,11.83,13.65,8.32,3.8,3.2,3.89,3.12,2.68,1.66,2.14,2.74,1.6,2.77
g_0,13.39,12.04,14.32,14.28,11.73,9.15,3.85,3.54,5.68,3.51,3.54,3.46,2.33,3.24,2.43,2.96
