,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,23.65,0.31,0.43,0.26,0.35,0.39,0.83,1.52,0.7,0.47,0.68,1.03,0.82,0.87,0.27,0.86
f_1,0.65,25.06,0.28,0.32,0.27,0.41,0.67,0.79,0.87,0.53,0.79,0.21,0.74,0.75,0.83,1.0
c_1,0.28,0.36,27.21,0.42,0.71,0.29,0.57,0.69,0.15,0.69,0.6,0.81,0.7,0.82,0.83,0.75
d_1,0.31,0.34,0.26,27.52,0.35,0.33,0.91,0.17,1.38,0.9,1.04,0.83,0.97,1.09,1.04,0.74
b_1,0.34,0.35,0.44,0.38,28.25,0.58,0.73,0.74,0.74,0.67,0.14,0.69,0.57,0.84,0.63,0.92
a_1,0.32,0.32,0.4,0.31,0.3,47.65,0.96,0.99,0.69,0.7,0.88,0.67,0.28,0.86,0.98,1.33
h_1,0.44,1.04,0.58,0.67,0.59,0.53,10.0,1.22,1.41,2.24,1.72,1.52,1.35,0.66,1.61,1.67
d_0,0.69,0.76,1.36,0.19,0.63,0.57,1.04,5.78,1.5,1.31,1.25,1.51,1.46,1.79,1.37,1.17
c_0,0.69,0.72,0.22,0.9,0.59,0.56,1.2,1.39,5.88,1.7,3.94,1.91,1.95,1.71,1.35,1.17
g_1,0.63,0.48,0.67,1.09,0.57,0.52,1.0,0.99,1.22,13.8,1.58,2.37,1.46,1.56,1.35,0.47
b_0,0.57,0.74,0.72,0.77,0.25,0.73,1.4,1.24,1.7,1.74,7.35,1.63,3.77,1.7,1.24,1.8
f_0,0.59,0.29,0.64,0.64,0.71,0.72,1.45,1.74,1.91,1.65,2.2,7.66,2.17,2.42,3.36,1.7
a_0,0.79,0.78,0.74,0.8,0.49,0.3,1.44,1.81,2.17,1.36,1.5,1.49,7.64,1.31,1.52,1.18
h_0,0.54,0.95,0.59,0.68,0.67,0.59,0.3,1.42,1.67,1.87,1.53,1.45,1.02,0.76,1.61,2.32
e_0,0.23,0.93,0.53,0.86,0.55,0.57,1.57,1.68,2.03,1.77,1.81,1.62,1.5,2.16,9.87,1.77
g_0,0.54,0.64,0.59,1.28,0.54,0.56,1.2,0.91,1.58,,1.56,2.66,1.45,1.29,1.3,0.52
