,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.47,0.14,0.16,0.18,0.18,0.11,0.19,0.32,0.19,0.18,0.19,0.18,0.12,0.19,,0.23
f_1,0.28,1.49,0.18,0.16,0.15,0.12,0.18,0.19,0.19,0.22,0.18,,0.19,0.19,0.12,0.18
d_1,0.17,0.16,1.52,0.16,0.15,0.13,0.23,,0.15,0.33,0.19,0.18,0.18,0.23,0.2,0.19
c_1,0.16,0.17,0.15,1.54,0.24,0.17,0.17,0.19,0.17,,0.18,0.16,0.17,0.25,0.18,0.26
b_1,0.16,0.2,0.22,0.16,1.6,0.23,0.21,0.23,0.17,0.19,,0.22,0.16,0.23,0.16,
a_1,0.23,0.19,0.17,0.18,0.15,1.76,0.21,0.18,,0.22,,0.22,,0.19,0.2,0.2
h_1,0.44,0.57,0.38,0.43,0.37,0.33,1.62,0.39,0.37,0.44,0.43,0.38,0.39,,0.42,0.47
d_0,0.44,0.48,,0.72,0.39,0.39,0.54,1.43,0.65,0.49,0.6,0.4,0.5,0.56,0.41,0.52
g_1,0.34,0.31,0.59,0.36,0.33,,0.52,0.41,1.74,0.53,0.46,0.59,0.38,0.59,0.46,
c_0,0.45,0.52,0.4,,0.4,0.36,0.61,0.56,0.51,1.45,0.81,0.56,0.41,0.6,0.44,0.61
b_0,0.5,0.57,0.47,0.44,,,0.72,0.66,0.53,0.47,1.49,0.59,,0.55,0.37,0.41
f_0,0.4,,0.55,0.5,0.38,0.33,0.59,0.7,0.44,0.63,0.47,1.49,0.54,0.74,0.85,0.54
a_0,0.7,0.47,0.41,0.52,0.39,,0.7,0.52,0.57,0.56,,0.61,1.64,0.61,0.47,
h_0,0.74,0.87,0.54,0.5,0.5,0.55,,0.85,0.66,0.65,0.61,0.57,0.56,,0.45,0.99
e_0,,0.52,0.6,0.47,0.56,0.52,0.48,0.58,0.47,0.58,0.64,0.44,0.54,0.76,1.62,0.66
g_0,0.63,0.48,0.82,0.59,,0.41,0.64,0.59,,0.66,0.83,1.1,,0.68,0.57,
