,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.33,1.36,1.69,1.87,3.69,21.11,37.74,34.24,36.18,42.31,61.32,71.23,87.31,95.28,162.96
e_1,0.76,1.0,1.25,1.83,2.03,4.03,24.25,32.23,31.77,49.74,44.88,68.1,84.92,105.55,143.85,158.29
d_1,0.74,0.79,1.0,0.97,1.34,2.78,18.54,20.81,32.66,27.11,32.98,46.35,61.16,73.11,83.29,85.41
c_1,0.6,0.54,1.02,1.0,1.55,2.86,14.19,24.79,21.76,16.29,25.11,42.97,58.13,61.06,85.51,85.91
b_1,0.53,0.48,0.74,0.66,1.0,3.06,14.25,18.87,21.72,18.53,28.55,35.04,46.0,45.56,75.29,75.71
a_1,0.27,0.25,0.36,0.35,0.33,1.0,6.69,9.34,9.43,9.87,12.34,15.12,21.34,28.65,38.02,41.0
h_1,0.05,0.04,0.06,0.07,0.07,0.14,1.0,1.9,1.49,1.43,1.9,2.46,4.28,4.13,5.53,7.26
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.53,1.0,1.17,0.91,1.4,2.32,2.24,3.17,3.69,4.62
c_0,0.03,0.03,0.03,0.04,0.05,0.1,0.67,0.85,1.0,1.18,1.74,1.99,2.69,2.97,4.26,4.2
d_0,0.03,0.02,0.04,0.06,0.05,0.1,0.7,1.2,0.85,1.0,1.37,1.56,2.77,2.66,3.31,4.02
b_0,0.02,0.02,0.03,0.04,0.03,0.08,0.53,0.7,0.57,0.74,1.0,1.3,1.94,2.86,2.87,3.14
f_0,0.02,0.01,0.02,0.02,0.03,0.06,0.38,0.43,0.52,0.67,0.78,1.0,1.51,1.77,3.02,2.03
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.23,0.45,0.38,0.37,0.53,0.66,1.0,1.07,1.54,1.84
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.31,0.33,0.36,0.35,0.62,0.95,1.0,1.06,1.43
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.28,0.26,0.29,0.35,0.34,0.68,1.13,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.22,0.24,0.24,0.31,0.51,0.54,0.68,1.02,1.0
