,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.56,1.31,1.46,1.29,1.11,0.48,0.6,0.41,0.44,0.42,0.41,0.28,0.39,0.31,0.32
e_1,1.15,1.04,1.59,1.68,1.53,1.34,0.61,0.62,0.45,0.58,0.46,0.5,0.36,0.43,0.45,0.36
d_1,1.8,1.62,1.04,1.48,1.39,1.15,0.55,0.41,0.51,0.53,0.5,0.41,0.32,0.37,0.4,0.24
c_1,1.72,1.45,1.83,1.05,1.93,1.35,0.63,0.6,0.55,0.33,0.44,0.49,0.38,0.41,0.42,0.36
b_1,1.94,1.89,2.01,1.23,1.05,1.76,0.73,0.66,0.65,0.53,0.6,0.55,0.39,0.44,0.47,0.38
a_1,2.96,2.53,2.7,2.31,1.45,1.06,1.0,0.89,0.77,0.79,0.96,0.74,0.59,0.84,0.79,0.57
h_1,4.68,4.06,4.24,3.94,3.74,3.32,1.23,1.59,1.22,1.21,1.15,1.2,1.08,1.11,0.96,0.97
g_1,5.13,4.91,5.68,4.79,4.46,4.13,1.68,1.26,1.62,1.5,1.43,1.46,0.95,1.22,1.31,1.28
c_0,5.82,5.45,3.91,6.31,4.79,4.28,2.34,1.73,1.36,2.16,1.88,1.53,1.17,1.5,1.49,1.18
d_0,4.89,3.66,7.16,6.71,5.68,4.78,2.2,2.13,1.4,1.36,1.46,1.59,1.21,1.41,1.55,1.27
b_0,5.78,5.61,4.85,7.03,6.38,4.85,2.31,2.1,1.13,1.86,1.35,1.5,1.34,1.76,1.57,1.2
f_0,7.61,5.79,6.41,5.44,5.54,4.84,2.27,1.69,1.77,1.85,1.79,1.38,1.33,1.56,1.67,0.95
h_0,8.07,7.42,7.4,7.04,7.02,5.51,2.86,2.61,2.16,2.11,1.93,1.96,1.93,1.68,1.63,1.59
a_0,7.48,7.27,7.39,7.54,7.87,6.11,2.53,2.63,1.79,2.29,1.34,2.19,1.74,1.47,1.8,1.51
e_0,10.72,9.44,8.26,7.53,7.27,5.26,3.11,2.37,2.4,2.28,2.2,1.52,1.9,1.99,1.42,1.4
g_0,8.72,8.65,9.67,8.4,8.65,6.5,2.72,2.94,2.53,2.47,2.36,2.49,1.64,2.17,2.2,1.94
