,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,1.0,0.71,0.86,1.12,1.25,0.99,1.04,1.35,0.86,0.91,1.1,1.09,0.77,,1.12
d_1,1.0,1.0,1.03,1.07,1.04,0.87,1.31,0.77,,1.24,1.17,1.0,0.74,1.22,0.85,0.85
f_1,1.4,0.97,1.0,0.91,1.03,1.48,0.8,1.04,0.94,1.01,0.89,,0.8,1.31,0.85,1.07
c_1,1.16,0.94,1.1,1.0,1.38,0.95,1.07,0.83,0.77,,0.83,0.89,1.09,1.04,1.08,0.9
b_1,0.89,0.96,0.97,0.73,1.0,1.4,1.15,1.21,1.06,1.13,,0.96,1.04,,1.12,1.06
a_1,0.8,1.15,0.68,1.05,0.72,1.0,0.74,1.31,1.08,1.28,0.93,1.18,1.33,,,1.15
h_1,1.02,0.76,1.25,0.93,0.87,1.35,1.0,1.09,1.06,1.11,0.98,0.82,,0.85,0.85,1.1
g_1,0.97,1.3,0.96,1.2,0.82,0.76,0.92,1.0,0.87,0.98,0.77,1.37,0.92,0.97,1.12,
d_0,0.74,,1.06,1.3,0.94,0.93,0.94,1.15,1.0,1.04,0.94,0.91,1.16,1.09,0.85,1.16
c_0,1.16,0.8,0.99,,0.89,0.78,0.9,1.02,0.96,1.0,1.46,1.1,1.27,0.95,1.02,0.7
b_0,1.1,0.86,1.12,1.2,,1.08,1.02,1.29,1.07,0.69,1.0,0.92,0.92,1.41,1.0,0.85
f_0,0.91,1.0,,1.12,1.04,0.85,1.21,0.73,1.1,0.91,1.09,1.0,0.98,1.0,1.64,0.85
h_0,0.92,1.35,1.24,0.92,0.96,0.75,,1.09,0.86,0.78,1.09,1.02,,0.75,0.95,1.24
a_0,1.29,0.82,0.77,0.96,,,1.18,1.03,0.92,1.05,0.71,1.0,1.34,1.0,0.92,1.07
e_0,,1.17,1.18,0.93,0.89,,1.18,0.89,1.18,0.98,1.0,0.61,1.06,1.09,1.0,
g_0,0.89,1.17,0.94,1.11,0.94,0.87,0.91,,0.86,1.43,1.17,1.17,0.8,0.93,,
