,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.24,0.96,1.03,0.99,0.86,0.84,1.04,0.98,0.83,0.93,0.88,0.88,0.8,1.0,0.83
e_1,0.81,1.0,0.97,1.11,0.99,1.02,1.21,1.04,1.38,1.03,1.1,1.19,1.13,1.02,1.06,1.06
d_1,1.06,1.03,1.0,0.94,0.92,0.95,0.99,0.8,0.93,1.37,1.16,1.08,1.0,0.99,0.87,1.05
c_1,0.98,0.9,1.08,1.0,1.36,0.97,0.92,0.91,0.72,0.9,0.78,0.88,0.96,1.0,0.96,0.87
b_1,1.0,1.04,1.09,0.75,1.0,1.34,1.06,1.16,0.98,1.01,0.87,1.0,0.92,1.07,1.05,1.06
a_1,1.14,0.98,1.03,1.02,0.75,1.0,1.16,1.13,1.04,1.03,1.07,1.02,1.18,1.4,1.06,1.08
h_1,1.2,0.84,0.95,1.08,0.91,0.85,1.0,1.21,1.02,0.98,0.98,0.93,0.89,1.02,1.13,1.05
g_1,0.96,0.92,1.23,1.08,0.91,0.93,0.82,1.0,0.88,0.92,0.9,1.17,0.83,0.8,1.1,0.94
d_0,0.99,0.72,1.04,1.38,1.05,0.96,0.95,1.16,1.0,0.77,0.97,0.95,1.01,1.07,1.0,0.97
c_0,1.21,0.96,0.74,1.15,0.94,0.92,1.01,1.12,1.31,1.0,1.5,1.09,1.13,1.08,1.04,1.11
b_0,1.12,0.91,0.86,1.27,1.18,0.87,1.04,1.11,1.05,0.69,1.0,0.88,1.36,1.15,1.11,0.99
f_0,1.15,0.88,0.93,1.08,1.02,1.03,1.1,0.79,1.07,0.87,1.11,1.0,0.97,1.05,0.87,1.62
a_0,1.16,0.88,0.97,1.02,1.11,0.95,1.1,1.16,0.99,0.87,0.79,1.04,1.0,0.99,1.03,0.91
h_0,1.27,0.99,1.01,1.01,0.98,0.72,0.95,1.2,0.93,0.92,0.88,0.96,0.97,1.0,1.09,0.92
g_0,1.03,0.94,1.1,1.02,0.95,1.01,0.9,0.86,0.96,0.92,0.91,1.19,0.99,0.91,1.0,1.01
e_0,1.18,0.92,0.97,1.2,0.95,0.94,0.92,1.09,0.9,0.86,1.02,0.59,1.06,1.06,0.96,1.0
