,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.11,1.44,1.27,1.4,0.95,0.48,0.5,0.58,0.43,0.47,0.52,0.26,0.44,0.32,0.38
d_1,1.47,0.65,1.36,1.26,1.13,1.15,0.65,0.65,0.44,0.63,0.49,0.47,0.4,0.46,0.46,0.28
e_1,0.85,1.43,0.65,1.53,1.33,1.26,0.6,0.63,0.68,0.44,0.5,0.62,0.45,0.46,0.7,0.44
c_1,1.4,1.68,1.12,0.64,1.65,1.37,0.52,0.31,0.56,0.62,0.44,0.45,0.41,0.44,0.41,0.38
b_1,1.44,1.52,1.52,0.89,0.62,1.43,0.79,0.58,0.63,0.64,0.75,0.47,0.47,0.48,0.6,0.45
a_1,2.51,1.64,1.57,1.51,0.97,0.58,0.77,0.64,0.89,0.58,0.65,0.56,0.54,0.8,0.59,0.42
h_1,2.06,1.85,2.03,2.39,1.78,1.79,0.57,0.71,0.93,0.65,0.68,0.71,0.68,0.56,0.62,0.69
d_0,2.22,2.85,1.28,2.52,2.41,2.16,1.12,0.62,0.94,0.7,0.76,0.77,0.62,0.68,0.76,0.64
g_1,2.22,2.31,2.2,2.28,2.14,1.85,0.78,0.86,0.54,0.82,0.77,0.87,0.52,0.83,0.66,0.89
c_0,2.41,1.31,2.27,3.63,2.21,2.02,1.12,1.17,0.99,0.6,1.04,0.73,0.74,0.7,0.69,0.66
b_0,2.27,2.32,2.04,2.71,3.03,2.09,1.01,0.75,0.94,0.48,0.58,0.81,0.75,0.91,0.8,0.64
f_0,3.72,2.21,2.11,2.62,2.27,2.18,1.01,0.82,0.81,0.83,0.81,0.58,0.71,0.72,1.0,0.48
h_0,2.96,2.35,2.4,2.58,2.23,2.08,1.45,1.06,1.22,0.84,0.77,0.93,0.93,0.74,0.7,0.91
a_0,2.93,2.26,2.51,2.72,3.59,3.1,1.37,1.02,1.03,1.09,0.57,0.97,0.88,0.56,0.77,0.75
e_0,4.52,2.52,3.0,2.94,2.87,2.16,1.23,1.01,1.11,1.05,0.87,0.54,0.81,1.03,0.54,0.67
g_0,3.05,3.04,2.48,2.74,2.48,2.8,0.97,1.04,1.24,0.98,0.93,1.03,0.62,0.81,0.98,0.96
