,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.06,1.0,0.92,0.86,0.76,0.68,0.49,0.92,0.8,0.7,0.56,0.67,0.57,0.65,0.54
f_1,0.94,1.0,1.29,1.1,0.93,0.85,0.59,0.71,0.53,0.57,0.58,0.55,0.48,0.55,0.39,0.56
e_1,1.0,0.78,1.0,1.14,0.94,0.81,0.87,0.64,0.7,0.96,0.83,0.65,0.59,0.49,0.62,0.52
c_1,1.09,0.91,0.87,1.0,1.33,0.77,0.88,0.67,0.53,0.44,0.66,0.7,0.62,0.72,0.64,0.54
b_1,1.17,1.08,1.06,0.75,1.0,1.23,0.72,0.77,0.64,0.78,0.54,0.64,0.5,0.65,0.69,0.68
a_1,1.32,1.18,1.23,1.3,0.81,1.0,0.87,0.93,0.97,0.67,0.66,0.75,0.79,0.76,0.62,0.66
h_1,1.47,1.76,1.2,1.15,1.39,1.11,1.0,1.32,0.86,0.92,0.87,0.94,0.93,0.93,0.79,0.89
g_1,1.93,1.39,1.56,1.41,1.33,1.06,0.75,1.0,0.82,0.86,0.95,1.1,0.79,0.65,0.93,0.85
c_0,1.05,1.98,1.4,1.84,1.58,1.18,1.21,1.21,1.0,1.11,1.33,0.96,1.03,0.86,0.92,0.91
d_0,1.37,1.78,0.99,2.32,1.14,1.58,1.09,1.11,0.86,1.0,0.85,1.04,0.76,0.87,0.94,0.91
b_0,1.4,1.71,1.25,1.56,1.63,1.58,1.15,1.08,0.78,1.17,1.0,1.16,1.4,1.12,1.03,0.99
f_0,1.75,1.78,1.43,1.54,1.59,1.32,1.03,0.92,0.98,0.98,0.87,1.0,0.88,1.04,1.17,0.83
a_0,1.49,2.06,1.64,1.74,2.05,,1.09,1.18,0.97,1.25,0.72,1.16,1.0,1.14,0.78,0.99
h_0,1.8,1.85,1.89,1.39,1.55,1.18,1.15,1.55,1.14,1.15,0.94,1.01,0.89,1.0,0.87,1.05
e_0,1.58,2.58,1.64,1.61,1.4,1.51,1.33,1.06,1.15,1.08,0.97,0.84,1.29,1.05,1.0,1.08
g_0,1.9,1.93,1.74,1.88,1.46,1.56,1.09,1.18,1.11,1.04,0.94,1.16,1.02,0.94,0.87,1.0
