,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.43,2.18,1.01,1.89,1.68,1.49,0.51,0.43,0.36,0.7,0.42,0.38,0.23,0.3,0.79,0.41
d_1,2.2,0.42,2.04,2.05,1.63,1.67,0.49,1.01,0.31,0.29,0.34,0.28,0.23,0.14,0.31,0.3
f_1,1.54,1.8,0.42,1.78,1.58,1.58,0.39,0.33,0.36,0.59,0.34,0.81,0.19,0.35,0.38,0.39
c_1,1.39,2.23,1.56,0.42,2.07,1.74,0.48,0.2,0.63,0.45,0.37,0.38,0.27,0.24,0.34,0.29
b_1,1.93,1.99,2.5,0.94,0.39,2.98,0.56,0.42,0.49,0.58,0.77,0.34,0.34,0.3,0.4,0.35
a_1,3.15,2.38,2.02,2.89,1.2,0.33,0.72,0.54,0.47,0.94,0.67,0.53,0.39,0.36,0.41,0.83
h_1,2.86,3.26,3.24,2.65,2.94,2.24,0.32,0.57,0.63,0.78,0.52,0.48,0.59,0.37,0.48,0.54
d_0,1.56,5.41,3.38,3.8,3.39,2.64,0.98,0.37,0.68,1.04,0.75,0.6,0.44,0.51,0.72,0.53
c_0,3.28,1.68,3.66,5.32,3.5,2.99,1.0,1.09,0.37,0.94,0.61,0.62,0.5,0.46,0.66,0.58
g_1,3.13,3.11,3.73,3.33,3.26,2.9,0.7,0.7,0.79,0.29,0.84,0.67,0.37,0.53,0.67,0.57
b_0,3.34,2.59,3.97,4.72,6.48,2.95,0.9,0.68,0.36,0.84,0.33,0.59,0.51,0.51,0.56,0.51
f_0,3.23,3.03,6.71,3.73,3.97,2.75,0.96,0.83,0.67,0.59,0.68,0.34,0.52,0.32,0.59,0.58
h_0,3.7,3.44,3.32,4.16,3.76,3.83,1.54,0.88,0.8,1.39,0.78,0.77,0.97,0.56,0.58,0.62
g_0,3.41,4.51,5.24,4.93,4.21,3.99,0.96,1.1,0.8,1.58,0.8,0.7,0.48,0.99,0.78,0.69
e_0,7.2,2.96,5.65,4.64,4.71,3.86,1.16,1.07,0.86,0.89,0.89,0.45,0.65,0.59,0.3,0.69
a_0,4.1,3.65,5.21,4.95,5.14,6.55,1.29,0.89,0.88,1.33,0.47,0.89,0.81,0.7,0.99,0.33
