,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.52,1.13,0.55,0.64,0.64,0.46,0.74,0.79,0.78,0.8,0.88,0.47,0.64,0.66,0.46,0.69
e_1,0.63,1.53,0.63,0.76,0.62,0.62,0.82,0.81,1.37,0.81,0.86,0.87,0.75,0.91,0.46,0.78
d_1,0.84,0.64,1.57,0.55,0.63,0.52,0.83,1.37,0.46,0.62,0.95,0.86,0.88,0.92,0.78,0.82
c_1,0.69,0.64,0.69,1.57,1.11,0.48,0.73,0.46,0.68,0.67,0.63,0.87,0.68,0.69,0.69,0.58
b_1,0.73,0.68,0.77,0.57,1.59,1.01,0.73,0.8,0.87,0.77,0.49,0.67,0.54,0.93,0.68,0.92
a_1,0.92,0.58,0.83,0.83,0.53,1.72,0.97,0.88,0.9,0.8,0.87,0.77,0.46,1.02,0.87,0.91
h_1,1.19,0.9,0.86,0.93,0.77,0.65,1.73,1.08,1.11,1.1,1.14,1.01,0.97,0.82,0.9,1.28
c_0,0.99,1.01,0.93,0.78,0.75,0.78,1.12,1.58,1.07,1.09,1.81,0.99,1.15,1.13,0.95,1.14
d_0,0.94,0.79,0.74,1.57,0.9,0.73,1.0,0.86,1.56,1.01,1.05,1.1,0.84,1.13,0.96,0.99
g_1,0.78,0.74,1.36,0.98,0.81,0.68,0.99,0.99,0.98,1.8,0.99,1.48,1.04,1.18,0.92,0.88
b_0,0.9,0.98,0.96,1.05,0.58,0.75,1.12,1.01,1.13,1.12,1.62,1.15,1.74,1.2,0.88,1.17
f_0,0.8,0.84,0.95,1.02,1.06,0.87,1.24,1.14,1.05,0.88,0.98,1.7,0.92,1.19,1.81,1.02
a_0,1.21,0.99,1.07,0.93,0.93,0.7,1.27,1.16,1.41,0.97,0.96,0.99,1.68,1.41,0.96,1.24
h_0,1.31,1.02,1.0,1.0,0.82,0.93,0.8,1.24,1.32,1.22,1.25,1.03,0.94,0.93,1.05,1.35
e_0,1.3,0.65,0.9,1.08,1.01,0.88,1.29,1.36,1.16,1.18,1.39,0.9,1.19,1.45,1.79,1.41
g_0,0.98,0.96,1.39,1.14,0.77,0.81,1.13,1.3,1.14,0.75,1.09,1.53,0.91,1.08,1.01,0.86
