,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.43,2.48,1.99,2.32,1.89,1.75,0.48,0.33,0.36,0.91,0.38,0.33,0.28,0.2,0.36,0.31
e_1,2.03,0.44,1.08,2.34,2.07,1.86,0.88,0.81,0.43,0.48,0.5,0.43,0.33,0.32,0.48,1.18
f_1,1.99,2.0,0.43,1.94,1.86,2.03,0.44,0.61,0.37,0.36,0.4,0.87,0.21,0.3,0.38,0.45
c_1,2.72,1.7,2.09,0.41,2.12,2.05,0.69,0.72,1.04,0.24,0.38,0.39,0.29,0.38,0.36,0.46
b_1,2.18,2.24,3.02,1.22,0.39,2.33,0.57,0.61,0.68,0.6,1.18,0.54,0.35,0.4,0.46,0.39
a_1,2.97,2.48,3.03,3.14,1.38,0.32,1.02,0.84,0.62,0.68,0.86,0.69,0.52,0.38,3.07,0.63
h_1,3.1,3.06,3.15,3.1,3.89,3.47,0.33,1.06,0.64,0.62,0.71,0.68,0.85,0.5,0.71,0.7
g_1,3.56,3.63,4.29,3.52,4.32,3.75,0.73,0.3,0.76,0.83,0.74,0.75,0.38,0.89,0.76,0.69
c_0,1.87,3.4,4.49,9.37,4.5,3.24,0.96,1.24,0.39,1.08,0.78,0.71,0.6,0.52,0.85,0.7
d_0,5.79,2.02,4.1,3.84,4.42,3.74,1.09,1.96,0.83,0.39,0.71,0.74,0.59,0.57,0.9,0.8
b_0,2.98,3.24,3.89,7.19,7.23,3.83,1.23,1.17,0.4,0.9,0.36,0.76,0.51,0.52,1.08,0.7
f_0,3.54,3.75,7.11,5.38,4.5,3.86,1.23,0.91,0.97,0.94,0.94,0.36,0.68,0.36,0.88,0.9
h_0,3.9,4.71,5.07,4.29,4.52,4.07,2.38,1.47,0.8,0.91,0.92,0.86,1.12,0.7,0.72,0.82
g_0,3.92,5.0,6.04,4.98,4.92,5.9,0.95,2.44,0.93,1.01,1.02,0.96,0.53,1.03,1.07,1.11
a_0,4.74,4.87,5.47,4.78,7.79,8.7,1.28,1.13,0.86,1.04,0.44,0.89,0.99,0.61,0.32,0.91
e_0,4.97,8.26,5.98,4.17,5.25,4.9,1.27,1.23,0.96,1.06,1.06,0.59,0.64,0.64,1.07,0.31
