,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.71,0.9,1.0,0.94,0.85,0.39,0.42,0.46,0.34,0.35,0.43,0.3,0.28,0.35,0.29
f_1,1.04,0.65,0.89,0.97,0.86,0.7,0.34,0.39,0.45,0.33,0.31,0.38,0.34,0.24,0.28,0.28
d_1,1.08,1.04,0.64,0.96,0.87,0.87,0.46,0.43,0.31,0.39,0.38,0.31,0.35,0.24,0.29,0.2
c_1,0.85,1.01,1.18,0.63,1.07,0.88,0.47,0.24,0.42,0.38,0.31,0.33,0.34,0.29,0.33,0.28
b_1,1.01,1.25,1.21,0.71,0.61,1.05,0.49,0.37,0.46,0.49,0.41,0.34,0.36,0.34,0.37,0.28
a_1,1.23,1.39,1.36,1.14,0.75,0.56,0.66,0.46,0.63,0.49,0.55,0.42,0.47,0.42,0.37,0.39
h_1,1.6,1.67,1.47,1.57,1.48,1.21,0.53,0.59,0.66,0.55,0.5,0.52,0.5,0.51,0.49,0.46
d_0,1.26,1.63,2.04,2.12,1.8,1.66,0.84,0.55,0.87,0.56,0.64,0.6,0.63,0.55,0.65,0.55
g_1,1.58,1.76,1.77,1.82,1.68,1.52,0.69,0.63,0.5,0.63,0.59,0.64,0.64,0.4,0.62,0.58
c_0,1.91,1.97,1.26,2.33,1.71,1.62,0.89,0.87,0.72,0.53,0.75,0.61,0.67,0.52,0.61,0.51
b_0,1.7,1.93,1.58,2.39,2.29,1.6,0.94,0.67,0.74,0.45,0.54,0.6,0.78,0.58,0.55,0.55
f_0,1.64,2.46,1.89,1.94,1.89,1.62,0.91,0.74,0.61,0.68,0.72,0.53,0.64,0.55,0.77,0.42
a_0,2.13,1.97,1.85,2.02,2.3,2.11,0.92,0.77,0.83,0.65,0.47,0.7,0.51,0.6,0.65,0.59
h_0,2.06,2.15,2.12,1.98,2.03,1.85,1.03,0.77,0.94,0.71,0.7,0.71,0.67,0.64,0.63,0.62
e_0,2.44,2.67,2.01,2.09,1.85,1.82,0.95,0.84,0.76,0.82,0.79,0.48,0.69,0.63,0.52,0.51
g_0,2.07,2.31,2.42,2.11,2.34,2.02,0.85,0.91,0.98,0.79,0.81,0.76,0.84,0.53,0.74,0.7
