,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.28,0.45,0.84,0.51,0.41,0.35,0.84,0.59,1.05,1.06,0.84,0.39,1.25,0.7,0.93,0.57
d_1,0.53,2.34,0.45,0.36,0.45,0.38,1.0,0.88,1.84,0.39,1.2,1.17,1.23,0.89,1.39,0.9
e_1,0.58,0.47,2.33,0.53,0.39,0.35,0.86,0.86,0.99,1.82,0.94,1.03,1.42,0.74,1.09,0.33
c_1,0.47,0.47,0.45,2.49,0.84,0.37,0.82,0.65,0.37,0.92,0.63,0.86,1.01,0.64,1.12,0.82
b_1,0.47,0.5,0.42,0.52,2.57,0.72,0.9,0.76,0.71,0.89,0.34,0.78,1.06,0.6,1.02,0.88
a_1,0.61,0.58,0.56,0.38,0.39,2.9,0.93,0.88,0.9,0.92,1.17,0.74,1.3,0.43,1.08,0.57
h_1,0.88,0.61,0.52,0.55,0.5,0.45,2.97,1.16,1.22,1.01,1.16,1.11,0.78,0.92,1.71,0.88
g_1,0.6,0.94,0.48,0.48,0.49,0.39,1.13,3.18,1.17,0.87,1.2,1.64,1.67,1.14,0.82,0.99
c_0,0.71,0.74,0.53,0.35,0.39,0.48,1.19,1.12,2.59,1.14,2.41,1.27,1.67,1.11,1.33,1.17
d_0,0.66,0.26,0.57,1.15,0.55,0.46,1.03,1.35,0.89,2.54,1.33,1.22,1.52,0.87,1.49,1.05
b_0,0.62,0.81,0.52,0.67,0.22,0.33,1.15,1.12,1.24,1.33,2.83,1.18,1.83,2.31,1.43,1.14
f_0,0.39,0.68,0.55,0.62,0.52,0.5,1.31,1.24,1.21,1.32,1.28,2.89,1.57,1.09,1.68,2.41
h_0,0.76,0.63,0.6,0.62,0.49,0.5,0.71,1.26,1.31,1.31,1.29,1.12,0.78,1.06,1.92,1.03
a_0,0.7,0.64,0.59,0.64,0.44,0.16,1.11,1.1,1.29,1.36,1.14,1.36,1.98,3.17,1.71,1.22
g_0,0.59,0.92,0.49,0.65,0.52,0.45,1.22,0.67,1.5,1.32,1.11,1.78,1.5,1.06,0.87,1.09
e_0,0.58,0.73,0.39,0.64,0.52,0.56,1.24,1.12,1.25,1.07,1.26,1.22,1.65,1.14,1.59,3.25
