,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,12481.63,151.36,376.16,265.82,289.51,2342.42,193716.9,383157.42,634139.67,876054.44,,1813636.57,5587191.88,8420997.87,9451597.18,
d_1,202.01,13256.17,176.41,175.17,334.84,,166638.67,473932.81,,1832275.97,1254408.87,1943404.5,7982616.44,8837861.27,7572458.8,6433996.93
e_1,141.83,119.57,14050.54,221.57,349.41,1865.67,198373.28,334238.9,1076119.62,1136342.15,1231970.93,1693357.75,7740841.57,9900956.79,4839392.94,
c_1,168.27,178.62,174.52,18929.48,674.35,,168455.69,339362.89,827169.21,,1149203.75,1449571.19,6430509.19,9153596.21,8133467.89,11353231.34
b_1,191.4,182.35,154.75,260.67,31715.09,3135.64,175038.23,341938.2,676679.04,985081.18,1185874.57,,6137344.67,9769611.46,,10394921.4
a_1,135.18,,169.14,,343.11,265824.87,187495.33,366273.22,634649.78,1292066.11,1209781.67,1573457.38,6059102.77,,,
h_1,906.57,499.01,604.97,993.6,1107.9,6078.2,8562286.86,2105430.69,2538754.84,3008671.81,3906332.07,5495868.39,,57841197.47,29214027.65,44915854.72
g_1,499.57,817.59,703.22,821.3,1003.84,6649.64,470183.38,25089715.72,2684856.26,4774918.69,7078815.63,6269102.13,21832033.0,,24148011.29,37126978.18
d_0,830.6,,1009.19,2023.39,1664.38,11172.21,1091399.24,2360489.19,22359987.53,4387273.54,3129807.79,7441689.35,26452258.96,43511092.0,40148969.71,41422778.01
c_0,408.81,816.89,704.08,,1770.06,12291.29,1114955.55,2429388.17,3422569.62,33269983.33,7532242.97,13540204.9,35892344.48,46028331.87,48820102.96,45571971.13
f_0,,800.59,764.33,1106.32,2169.4,10172.14,926460.36,1751463.58,2459785.26,5946773.73,43644568.76,9546121.97,25352005.03,55815577.87,41314311.35,95279618.52
b_0,949.44,1151.88,672.05,1152.66,,9243.55,870741.04,1606497.81,4464124.92,3500258.19,5340860.79,60031028.86,35017277.9,45692004.33,68184403.51,60479917.37
h_0,2208.22,1298.31,1224.21,1340.43,2845.53,13746.78,,4970604.06,3928589.28,6331834.98,10337039.1,8452230.8,,96238294.28,45979939.74,56806903.52
g_0,1081.29,2295.73,1217.65,1816.72,1960.36,,1377311.56,,5324538.82,8858562.29,12441615.27,12641970.72,26482989.92,,48533402.5,64574067.28
a_0,687.85,773.15,956.85,1350.85,,,1106362.91,2396208.81,2699419.6,3770643.3,6879972.49,6357916.96,34276480.5,49565790.19,473305543.44,
e_0,,1149.05,,884.48,1268.0,,1039352.74,2175408.88,3332925.01,5073351.11,4470830.92,9812507.68,35267130.23,60560513.88,,519777694.52
