,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,6.16,2.45,2.17,1.59,1.93,2.29,9.08,8.71,19.44,6.09,11.97,11.79,11.74,15.95,13.9,18.15
f_1,2.07,6.13,3.84,2.25,1.98,2.18,6.74,7.5,7.94,9.49,8.95,5.89,10.36,16.7,6.94,12.92
e_1,1.94,2.24,6.52,2.98,2.24,2.08,7.7,7.0,10.5,18.31,10.65,11.17,11.15,13.75,7.62,16.27
c_1,1.95,2.15,1.93,6.76,4.33,2.01,8.15,7.31,5.91,9.79,9.12,10.36,10.18,16.55,10.82,14.22
b_1,2.15,2.3,2.17,2.21,7.41,4.35,6.89,7.79,8.06,10.65,6.3,10.99,9.25,17.76,10.6,15.38
a_1,2.59,2.34,1.91,2.39,2.19,11.28,7.17,9.92,10.19,9.85,10.96,11.03,6.4,19.26,10.69,12.67
h_1,2.63,3.08,2.21,2.41,2.33,2.18,17.81,10.99,10.2,9.38,12.42,11.84,13.02,11.78,14.79,22.51
g_1,3.64,2.04,2.51,2.34,2.26,2.06,8.63,21.09,11.6,8.82,12.49,17.09,11.23,14.57,14.66,10.46
c_0,2.72,2.82,2.41,1.9,1.97,2.52,10.2,9.47,18.17,12.12,21.11,12.6,16.49,16.87,14.79,17.58
d_0,1.57,2.13,2.21,5.02,2.49,2.22,8.32,8.17,8.21,19.35,11.38,12.17,11.72,18.23,12.34,18.48
b_0,2.37,2.75,2.29,2.72,1.7,2.08,9.76,9.26,11.66,12.6,21.35,14.16,23.35,19.58,15.37,21.51
f_0,2.87,1.84,2.08,2.63,2.43,2.3,10.59,9.22,12.53,11.2,13.08,20.73,14.39,17.45,24.76,20.99
a_0,2.48,2.68,2.3,2.91,2.32,1.42,9.75,10.07,10.91,11.82,10.85,14.6,26.47,21.2,16.63,19.8
h_0,2.57,3.38,2.55,2.14,2.15,2.26,6.69,12.17,11.88,11.47,10.88,10.14,12.91,12.1,12.31,18.42
e_0,2.54,2.64,1.83,2.53,2.06,2.55,11.22,10.95,12.49,10.47,13.93,13.16,17.23,20.57,27.88,18.64
g_0,3.42,2.28,2.21,2.5,2.06,2.52,9.75,6.45,13.02,9.5,10.99,18.04,12.83,15.88,15.93,16.48
