,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.05,0.82,0.84,0.88,0.93,0.83,1.01,0.52,,0.71,0.56,0.55,0.57,0.39,0.57
f_1,0.95,1.0,1.32,0.85,1.0,0.78,0.67,0.69,0.77,0.73,0.64,,0.52,0.55,0.43,0.52
e_1,1.22,0.76,1.0,0.91,0.99,0.98,0.65,0.66,0.58,0.78,0.61,0.79,0.57,0.6,0.6,
c_1,1.19,1.18,1.09,1.0,1.46,0.9,0.53,,0.64,0.51,0.54,0.51,0.79,0.65,0.6,0.81
b_1,1.14,1.0,1.01,0.68,1.0,,0.88,0.78,0.69,0.61,,0.83,0.77,0.52,0.67,0.45
a_1,1.08,1.28,1.02,1.11,,1.0,0.87,0.86,0.8,0.74,0.92,0.83,0.75,,0.78,
h_1,1.21,1.49,1.53,1.9,1.14,1.16,1.0,0.93,1.13,0.94,0.84,0.87,,0.75,1.03,0.58
c_0,0.99,1.45,1.51,,1.29,1.17,1.07,1.0,0.98,1.11,1.36,0.85,1.05,1.03,0.92,0.87
g_1,1.93,1.3,1.71,1.57,1.44,1.25,0.89,1.02,1.0,0.67,0.91,1.09,0.93,0.96,,0.68
d_0,,1.37,1.28,1.95,1.64,1.34,1.06,0.9,1.48,1.0,1.36,0.79,0.91,0.74,0.7,0.72
b_0,1.41,1.56,1.65,1.85,,1.09,1.19,0.74,1.1,0.74,1.0,1.18,0.98,1.66,0.96,0.86
f_0,1.79,,1.27,1.95,1.21,1.21,1.14,1.17,0.92,1.27,0.85,1.0,0.85,0.84,0.86,1.47
h_0,1.81,1.93,1.75,1.27,1.31,1.33,,0.95,1.08,1.1,1.03,1.18,,0.89,1.21,0.98
a_0,1.75,1.82,1.66,1.53,1.92,,1.33,0.97,1.04,1.35,0.6,1.19,1.12,1.0,1.34,1.05
g_0,2.56,2.34,1.66,1.66,1.49,1.29,0.97,1.09,,1.43,1.04,1.16,0.83,0.74,,1.2
e_0,1.75,1.93,,1.24,2.22,,1.71,1.15,1.47,1.39,1.16,0.68,1.03,0.95,0.84,1.0
