,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,34.6,0.05,0.07,0.05,0.08,0.06,0.25,0.24,0.71,0.47,0.41,0.35,0.46,0.34,0.64,
f_1,0.13,35.61,0.07,0.05,0.06,0.09,0.25,0.21,0.37,0.38,0.4,,0.61,0.39,0.54,0.33
d_1,0.07,0.07,41.43,0.06,0.06,0.08,0.33,0.3,,0.69,0.27,0.4,0.64,0.33,0.62,0.28
c_1,0.06,0.05,0.06,41.87,0.13,0.06,0.35,0.3,0.48,,0.32,0.39,0.68,0.41,0.46,0.35
b_1,0.07,0.08,0.07,0.05,51.12,0.14,0.28,0.37,0.28,0.4,,0.52,0.48,0.25,0.39,0.42
a_1,0.06,0.06,0.07,0.07,0.07,78.08,0.28,0.27,0.39,0.38,0.3,0.49,0.64,,,
h_1,0.24,0.4,0.27,0.26,0.21,0.17,27.37,1.76,1.71,1.39,1.55,1.13,,1.35,1.89,1.81
g_1,0.21,0.26,0.41,0.24,0.23,0.33,1.42,32.8,0.87,0.9,1.73,2.07,2.72,1.25,,1.18
d_0,0.28,0.3,,0.82,0.44,0.39,1.41,1.02,16.67,1.94,1.77,1.59,3.24,2.61,2.98,2.11
c_0,0.32,0.39,0.35,,0.32,0.31,1.68,1.39,2.24,18.72,3.57,1.02,3.43,1.29,3.85,2.29
b_0,0.38,0.32,0.31,0.37,,0.26,2.17,1.61,1.45,1.64,20.43,2.33,3.18,3.91,2.37,2.07
f_0,0.27,,0.41,0.41,0.25,0.33,1.19,1.43,2.49,2.32,1.91,23.57,3.32,1.62,2.12,4.0
h_0,0.52,0.84,0.56,0.48,0.62,0.38,,2.87,2.21,2.79,2.88,2.67,,2.29,9.31,2.76
a_0,0.39,0.34,0.26,0.42,0.3,,1.12,1.44,2.47,2.24,1.49,2.11,2.46,32.32,3.52,
g_0,0.3,0.75,0.89,0.59,0.4,0.52,2.02,,2.14,2.32,3.7,3.89,5.51,2.32,,4.02
e_0,,0.27,0.27,0.39,0.39,,1.95,1.29,2.76,2.08,2.54,2.27,2.98,,3.53,34.19
