,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.54,0.09,0.13,0.07,0.07,0.07,0.34,0.29,0.44,0.33,0.48,,0.37,0.59,0.32,0.46
c_1,0.08,6.06,0.08,0.15,0.07,0.08,0.22,0.55,,0.34,0.25,0.35,0.28,0.65,0.37,0.63
e_1,0.08,0.07,6.2,0.09,0.07,0.05,0.34,0.68,0.39,0.28,0.51,0.27,0.31,0.59,,0.43
b_1,0.09,0.08,0.07,6.64,0.1,0.11,0.31,0.28,0.35,0.37,,0.47,0.41,0.49,0.48,0.46
d_1,0.08,0.03,0.08,0.08,6.81,0.08,0.32,,0.76,0.23,0.41,0.47,0.58,0.63,0.42,0.49
a_1,0.09,0.06,0.06,0.06,0.11,10.07,0.35,0.35,0.39,0.22,0.31,0.43,,0.54,0.52,0.7
h_1,0.35,0.36,0.29,0.19,0.39,0.27,15.62,1.49,1.49,1.36,1.74,1.03,1.35,,,2.99
d_0,0.4,0.89,0.44,0.35,,0.39,1.58,11.24,1.87,1.24,1.19,2.07,1.15,3.56,1.84,2.9
c_0,0.43,,0.33,0.33,0.29,0.52,1.49,1.71,12.59,1.27,3.54,2.29,2.16,3.33,2.19,3.32
g_1,0.19,0.26,0.26,0.25,0.54,0.29,1.02,1.51,1.21,18.69,1.72,2.31,1.43,2.59,,
b_0,0.31,0.28,0.38,,0.38,0.33,1.38,2.45,2.34,1.65,14.8,1.99,4.33,2.48,2.04,4.13
f_0,,0.45,0.35,0.49,0.4,0.41,1.55,2.14,1.45,1.54,2.65,16.32,,2.8,3.51,3.11
a_0,0.49,0.3,0.51,0.35,0.3,,1.19,1.94,1.98,1.43,1.29,1.89,21.13,4.4,,2.56
h_0,0.99,0.7,0.55,0.55,0.5,0.42,,3.92,2.47,2.11,3.07,2.54,2.35,,2.56,4.8
e_0,0.42,0.39,,0.45,0.35,0.38,1.85,1.54,1.97,1.88,2.04,1.9,,3.1,23.53,3.83
g_0,0.31,0.52,0.45,0.64,0.75,0.63,2.71,3.11,3.21,,2.34,4.74,2.93,3.88,4.25,
