,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,11295.11,260.66,224.04,269.09,469.13,1238.47,188235.25,470681.57,674488.56,706398.84,1523188.06,,2771131.6,6227749.82,17122583.82,7794090.03
e_1,174.08,11474.55,176.91,160.66,427.79,1298.73,200611.74,365513.32,1428276.0,767606.32,1326814.87,2667507.56,4251165.73,5205666.86,13029280.77,
d_1,145.2,124.16,14901.73,250.53,420.68,1308.87,217584.96,385111.6,,1368677.93,1440319.04,2469864.41,3100920.19,8592832.96,13103896.43,15206986.54
c_1,133.78,181.12,192.41,20028.23,908.55,1388.61,171482.34,510718.79,567193.09,,1213469.25,1987847.31,4752002.48,7370676.25,18536358.3,8738975.05
b_1,114.11,144.83,188.05,252.75,44416.85,2887.01,239791.07,379349.43,665206.04,516057.16,,2967178.18,4072697.6,7961905.83,17857451.27,9460708.18
a_1,169.04,158.93,239.38,177.51,369.26,176148.42,305582.94,578422.34,616428.29,747527.25,1110572.17,1953665.32,,5991223.56,13291424.47,
h_1,777.41,515.51,648.43,1040.23,1372.39,3952.37,10608821.08,2065387.39,3617421.28,2841422.01,4749063.98,9194178.54,10014069.24,,93271321.17,34201073.9
g_1,537.0,584.21,1491.82,985.58,1658.98,3583.29,873667.62,27383039.28,1490735.44,2914356.91,3614565.36,10686672.45,9511261.98,23858285.7,,
d_0,580.06,731.16,,2268.47,1966.16,7162.92,1301695.84,2183923.38,21973867.18,4342161.92,5765564.38,14266379.91,20741234.99,33496177.43,78393687.11,56385772.38
c_0,868.08,860.94,851.71,,2063.8,5029.18,1116718.01,2628093.55,3661455.47,24213266.07,13204913.7,9449268.27,20933878.04,30909519.94,69231576.62,
b_0,768.51,756.69,859.7,1196.77,,7251.9,1212436.7,1955931.38,4103071.83,2780534.4,48280265.88,8824138.11,35698113.15,34542078.48,95075677.08,61787434.61
f_0,,734.16,741.42,1423.62,2948.2,7921.99,1132769.4,2249120.27,3885503.46,3778661.64,5343915.93,92515423.13,14487940.59,33313417.41,83088723.13,
a_0,709.11,626.11,853.6,655.6,1697.13,,1103518.03,2459942.06,3834326.62,3346441.57,6494254.55,12369254.92,212669610.23,41304033.44,90625326.24,
h_0,1965.58,918.71,1069.48,1990.34,3802.88,6315.05,,4847715.09,3718517.11,4233088.47,8647285.55,20862020.87,35165605.41,,183418722.48,98298191.43
g_0,957.17,1214.87,2208.39,1625.48,3136.24,11177.24,1687029.65,,6406667.29,5194659.76,7074378.69,25778737.71,21576841.19,36256063.43,,85973341.74
e_0,840.09,,843.87,1346.9,2516.69,,976271.88,,4146012.68,,7983089.14,,,28711009.22,78393687.11,762866332.25
