,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.43,0.71,1.22,1.28,1.22,1.16,0.35,0.32,0.24,0.25,0.28,0.28,0.18,0.42,0.2,0.26
f_1,1.12,0.43,1.06,1.09,1.25,1.04,0.23,0.36,0.25,0.23,0.35,0.25,0.14,0.2,0.21,0.2
d_1,1.47,1.3,0.41,1.37,1.15,0.94,0.35,0.22,0.2,0.42,0.25,0.22,0.15,0.22,0.12,0.2
c_1,0.92,1.31,1.44,0.4,1.3,1.24,0.34,0.38,0.39,0.14,0.21,0.26,0.18,0.22,0.17,0.25
b_1,1.36,1.65,1.56,0.72,0.37,1.29,0.48,0.53,0.39,0.28,0.28,0.45,0.23,0.29,0.22,0.28
a_1,1.81,1.7,1.65,1.47,0.8,0.33,0.46,0.42,0.33,0.36,0.37,0.44,0.22,0.29,0.22,0.59
h_1,2.21,2.2,2.06,2.03,1.88,1.93,0.3,0.6,0.47,0.49,0.46,0.46,0.48,0.39,0.3,0.38
g_1,2.4,2.55,2.39,2.56,2.46,2.04,0.5,0.28,0.5,0.54,0.55,0.5,0.28,0.44,0.51,0.52
c_0,2.64,2.57,1.42,4.58,2.57,2.19,0.76,0.63,0.32,0.82,0.51,0.51,0.37,0.49,0.34,0.65
d_0,1.46,2.51,3.89,2.49,2.6,2.65,0.77,0.7,0.52,0.34,0.5,0.56,0.33,0.69,0.42,0.53
f_0,2.27,4.07,2.44,2.67,2.5,2.48,0.81,0.47,0.46,0.52,0.31,0.54,0.37,0.52,0.23,0.49
b_0,2.45,2.53,2.09,3.9,3.99,2.66,0.74,0.68,0.29,0.63,0.49,0.29,0.36,0.52,0.39,0.49
h_0,2.77,3.03,2.54,2.94,2.99,2.37,1.15,1.01,0.65,0.6,0.61,0.6,0.57,0.56,0.42,0.57
e_0,4.22,4.52,2.72,3.37,2.37,3.09,0.79,0.8,0.53,0.66,0.34,0.55,0.5,0.28,0.33,0.63
g_0,2.81,3.84,3.07,3.43,3.26,3.02,0.79,1.15,0.7,0.66,0.63,0.67,0.34,0.61,0.5,0.6
a_0,3.15,3.1,3.2,3.33,3.99,5.46,1.03,0.88,0.54,0.75,0.76,0.33,0.44,0.81,0.48,0.28
