,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.94,0.31,0.26,0.22,0.27,0.2,0.18,0.16,0.32,0.19,0.09,0.17,0.16,0.11,0.13,0.14
f_1,0.27,0.94,0.47,0.25,0.23,0.22,0.18,0.15,0.18,0.18,0.17,0.05,0.13,0.13,0.11,0.14
e_1,0.27,0.25,0.94,0.31,0.28,0.19,0.21,0.18,0.18,0.16,0.31,0.16,0.17,0.13,0.06,0.12
c_1,0.34,0.27,0.3,0.94,0.39,0.16,0.19,0.19,0.08,0.15,0.17,0.18,0.16,0.14,0.12,0.16
b_1,0.28,0.37,0.28,0.22,0.93,0.43,0.21,0.16,0.21,0.06,0.15,0.14,0.17,0.16,0.12,0.14
a_1,0.34,0.34,0.37,0.32,0.15,0.93,0.26,0.19,0.22,0.27,0.23,0.16,0.27,0.08,0.17,0.15
h_1,0.65,0.69,0.42,0.56,0.46,0.29,0.73,0.4,0.34,0.33,0.24,0.28,0.17,0.23,0.25,0.32
g_1,0.87,0.5,0.47,0.54,0.46,0.34,0.33,0.72,0.3,0.32,0.25,0.41,0.34,0.24,0.22,0.18
c_0,0.53,0.65,0.59,0.36,0.45,0.43,0.4,0.4,0.64,0.64,0.36,0.43,0.39,0.31,0.29,0.31
b_0,0.61,0.67,0.6,0.67,0.32,0.31,0.41,0.36,0.33,0.61,0.4,0.36,0.35,0.46,0.27,0.27
d_0,0.32,0.6,0.5,1.01,0.47,0.32,0.43,0.42,0.35,0.35,0.58,0.34,0.37,0.29,0.28,0.22
f_0,0.67,0.58,0.54,0.62,0.67,0.4,0.38,0.35,0.33,0.38,0.35,0.6,0.39,0.25,0.53,0.27
h_0,0.78,0.76,0.57,0.61,0.55,0.32,0.32,0.45,0.38,0.44,0.38,0.39,0.25,0.27,0.33,0.36
a_0,0.76,0.71,0.56,0.65,0.51,0.22,0.52,0.42,0.44,0.36,0.44,0.46,0.47,0.61,0.26,0.44
e_0,0.74,0.72,0.25,0.77,0.56,0.41,0.43,0.5,0.4,0.45,0.33,0.29,0.41,0.41,0.61,0.34
g_0,0.91,0.59,0.59,0.6,0.64,0.45,0.44,0.28,0.42,0.44,0.46,0.53,0.36,0.24,0.31,0.24
