,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.96,0.9,0.57,0.58,0.53,0.35,0.38,0.4,0.34,0.35,0.34,0.27,0.33,0.27,0.3,0.19
e_1,0.6,0.96,0.57,0.72,0.6,0.39,0.41,0.6,0.34,0.36,0.38,0.39,0.36,0.27,0.34,0.23
d_1,0.74,0.69,0.96,0.56,0.53,0.36,0.4,0.37,0.34,0.57,0.4,0.35,0.34,0.28,0.28,0.27
c_1,0.66,0.58,0.67,0.96,0.84,0.41,0.39,0.31,0.36,0.3,0.28,0.37,0.35,0.28,0.29,0.27
b_1,0.74,0.62,0.64,0.57,0.95,0.76,0.48,0.41,0.36,0.4,0.35,0.37,0.34,0.23,0.31,0.27
a_1,0.84,0.77,0.8,0.74,0.49,0.95,0.62,0.45,0.45,0.42,0.48,0.36,0.46,0.33,0.34,0.29
h_1,1.14,1.0,1.04,0.94,0.78,0.48,0.79,0.46,0.61,0.53,0.55,0.47,0.45,0.36,0.5,0.36
d_0,1.02,0.8,0.73,1.5,1.01,0.68,0.73,0.74,0.49,0.43,0.57,0.52,0.49,0.39,0.52,0.44
g_1,1.03,0.97,1.28,0.83,0.8,0.59,0.6,0.56,0.8,0.64,0.63,0.73,0.56,0.47,0.44,0.41
c_0,1.15,1.11,0.94,0.96,0.73,0.67,0.68,0.65,0.56,0.74,0.94,0.57,0.61,0.58,0.47,0.45
b_0,1.17,1.06,1.12,1.07,0.82,0.51,0.71,0.61,0.54,0.55,0.75,0.52,0.59,0.71,0.5,0.43
f_0,1.06,0.84,1.14,1.06,0.98,0.7,0.75,0.66,0.55,0.63,0.7,0.73,0.68,0.55,0.46,0.71
h_0,1.4,1.15,1.25,1.01,0.95,0.65,0.67,0.63,0.73,0.62,0.63,0.53,0.53,0.51,0.6,0.4
a_0,1.23,1.19,1.27,1.22,1.09,0.61,0.84,0.72,0.68,0.61,0.62,0.65,0.64,0.66,0.58,0.44
g_0,1.15,1.02,1.49,1.25,1.1,0.72,0.77,0.62,0.58,0.72,0.71,0.81,0.58,0.52,0.52,0.49
e_0,1.39,0.92,1.17,1.19,1.15,0.83,0.82,0.71,0.66,0.68,0.73,0.58,0.79,0.53,0.59,0.66
