,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.18,0.86,0.99,0.84,0.74,0.9,0.71,0.63,0.7,0.61,0.64,0.59,0.6,0.63
f_1,1.28,1.0,0.99,0.85,0.89,0.88,0.61,0.67,0.65,0.62,0.54,0.57,0.48,0.55,0.6,0.44
c_1,0.84,1.02,1.0,1.15,1.32,0.86,0.68,0.49,0.63,0.55,0.59,0.54,0.67,0.55,0.65,0.51
d_1,1.14,1.18,0.86,1.0,0.93,0.78,0.7,0.67,0.56,0.86,0.66,0.72,0.61,0.6,0.52,0.54
b_1,1.02,1.1,0.75,1.11,1.0,1.31,0.81,0.69,0.79,0.74,0.68,0.69,0.63,0.58,0.53,0.57
a_1,1.18,1.13,1.14,1.28,0.8,1.0,0.87,0.84,0.84,0.81,0.86,0.97,0.73,0.65,0.71,0.82
h_1,1.35,1.67,1.46,1.36,1.26,1.12,1.0,0.85,1.05,0.82,0.81,0.77,0.84,0.73,0.83,0.73
d_0,1.08,1.46,2.08,1.49,1.49,1.21,1.17,1.0,1.02,0.71,0.87,0.79,0.93,0.86,0.83,0.87
g_1,1.41,1.55,1.59,1.8,1.32,1.17,0.95,1.03,1.0,0.93,1.1,0.91,0.74,0.79,0.8,0.82
c_0,1.68,1.62,1.73,1.21,1.28,1.15,1.2,1.41,1.07,1.0,1.01,1.31,0.88,1.01,0.83,0.9
f_0,1.44,1.8,1.77,1.55,1.43,1.12,1.22,1.07,0.86,0.96,1.0,1.01,1.04,0.86,0.72,1.32
b_0,1.57,1.74,1.9,1.36,1.49,1.08,1.29,1.25,1.11,0.76,0.98,1.0,0.93,1.32,0.8,0.95
h_0,1.63,2.01,1.46,1.69,1.57,1.35,1.2,1.12,1.36,1.1,0.95,1.07,1.0,0.96,1.07,0.89
a_0,1.67,1.79,1.84,1.57,1.72,1.59,1.41,1.19,1.21,0.97,1.09,0.78,1.04,1.0,0.98,0.93
g_0,1.69,1.68,1.56,1.92,1.79,1.4,1.21,1.15,1.28,1.2,1.32,1.15,0.9,0.98,1.0,1.04
e_0,1.71,2.08,2.04,1.88,1.7,1.22,1.33,1.17,1.22,1.18,0.78,1.09,1.09,1.05,0.91,1.01
