,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.05,1.15,1.89,1.77,1.59,1.52,0.68,0.67,0.66,0.51,0.49,0.63,0.47,0.39,0.51,0.37
f_1,1.92,1.05,1.83,1.81,1.67,1.42,0.49,0.67,0.53,0.56,0.52,0.59,0.44,0.32,0.39,0.45
c_1,1.53,1.79,1.05,1.95,2.12,1.63,0.77,0.67,0.37,0.51,0.59,0.55,0.49,0.41,0.45,0.4
d_1,2.12,1.91,1.87,1.05,1.86,1.5,0.7,0.49,0.8,0.57,0.59,0.53,0.47,0.38,0.46,0.28
b_1,2.25,2.29,1.35,2.0,1.05,2.22,0.75,0.78,0.56,0.8,0.73,0.53,0.48,0.51,0.56,0.49
a_1,2.46,2.79,2.48,2.41,1.42,1.06,1.21,1.14,0.85,0.97,0.78,0.79,0.95,0.65,0.84,0.62
h_1,4.89,6.43,4.56,4.35,4.46,3.23,1.27,1.78,1.48,1.42,1.39,1.29,1.31,1.28,1.25,1.23
g_1,5.81,5.38,5.37,5.7,5.28,4.12,1.8,1.28,1.75,1.74,1.67,1.69,1.54,0.97,1.45,1.53
d_0,3.96,5.56,6.84,6.42,6.1,5.26,2.35,2.49,1.43,1.94,1.62,1.89,1.59,1.46,1.58,1.28
b_0,5.62,5.78,7.58,4.81,7.28,4.61,2.32,1.94,1.83,1.37,1.15,1.72,1.8,1.32,1.42,1.14
c_0,6.64,6.38,8.86,3.95,5.66,5.92,2.35,2.03,2.61,1.93,1.4,1.78,1.59,1.47,1.63,1.3
f_0,6.71,9.15,5.88,6.08,7.02,6.15,2.61,1.71,1.99,1.87,1.88,1.39,1.82,1.58,1.95,1.04
a_0,7.93,8.91,8.04,7.7,10.5,7.1,2.95,2.94,2.53,1.47,1.91,2.1,1.5,1.91,1.64,1.63
h_0,8.18,8.74,8.1,8.07,7.5,6.13,3.34,3.19,2.28,2.25,2.14,2.24,1.9,2.16,1.73,1.86
e_0,10.63,11.85,8.33,7.55,8.84,6.83,2.87,2.42,2.58,2.83,2.37,1.46,2.64,2.26,1.49,1.87
g_0,9.23,9.27,8.57,10.28,8.59,7.87,2.8,3.78,3.12,2.78,2.62,2.86,2.22,1.71,2.15,2.16
