,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,1.48,1.39,1.26,1.35,1.18,0.51,0.5,0.47,0.67,0.51,0.66,0.4,0.31,0.39,0.44
c_1,1.36,0.65,1.14,1.66,2.05,1.3,0.55,0.33,0.66,0.61,0.41,0.42,0.51,0.39,0.46,0.44
e_1,1.06,1.68,0.65,1.48,1.26,1.37,0.7,0.67,0.54,0.68,0.55,0.61,0.44,0.5,0.76,0.47
b_1,1.77,0.9,1.47,0.64,1.51,1.69,0.78,0.56,0.69,0.77,0.75,0.53,0.53,0.43,0.51,0.43
d_1,1.55,1.37,1.92,1.45,0.63,1.17,0.62,0.94,0.62,0.43,0.54,0.58,0.61,0.5,0.48,0.29
a_1,1.9,1.93,1.95,1.1,1.64,0.58,0.89,0.71,0.61,0.84,0.76,0.6,1.07,0.51,0.65,0.55
h_1,2.53,2.52,1.84,1.99,2.32,1.84,0.57,0.85,0.85,1.26,0.85,0.75,0.76,1.1,0.69,0.62
d_0,2.56,2.64,1.48,2.61,3.08,2.46,1.07,0.63,0.78,1.06,0.65,0.72,0.76,0.58,0.85,0.62
c_0,2.44,4.29,2.34,2.28,1.46,2.4,1.15,1.26,0.61,0.99,0.97,0.78,0.95,0.72,0.82,0.71
g_1,2.17,2.5,2.54,2.11,2.59,2.2,0.8,0.95,0.9,0.54,0.91,0.95,0.9,0.57,0.77,1.04
b_0,2.21,4.13,2.47,3.33,2.13,2.26,1.1,1.27,0.59,1.15,0.6,0.79,1.05,0.7,0.83,0.85
f_0,4.03,3.3,2.74,2.43,2.01,2.3,1.27,1.03,0.85,0.78,1.0,0.59,0.84,0.88,0.94,0.52
a_0,3.1,3.5,2.81,3.43,2.45,3.28,1.3,1.14,0.83,1.31,0.56,1.01,0.56,0.93,0.89,0.76
h_0,2.89,3.0,2.68,3.11,2.54,2.83,1.52,1.04,0.97,1.24,0.97,0.93,0.81,1.06,0.97,0.78
e_0,3.55,2.98,5.49,2.57,2.7,2.6,1.67,1.04,1.0,1.23,0.96,0.65,0.95,0.82,0.57,0.7
g_0,2.79,2.96,2.77,3.04,3.14,2.77,1.2,1.2,1.07,1.55,0.85,1.21,1.11,0.83,0.93,1.11
