,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.9,1.85,2.16,2.8,2.35,1.88,7.99,8.54,18.22,9.36,9.72,12.86,16.86,9.47,12.22,17.51
d_1,2.19,6.19,2.36,1.61,2.09,2.38,8.22,9.15,6.12,17.64,13.4,11.33,16.69,11.92,13.41,16.59
f_1,3.65,2.04,6.34,2.29,1.88,1.76,7.91,6.8,9.95,9.87,10.39,4.71,12.16,6.68,11.61,15.58
c_1,2.11,2.13,2.07,7.0,4.09,2.36,7.36,8.05,9.48,5.09,7.34,10.06,16.61,9.21,8.33,12.81
b_1,1.73,2.34,2.33,2.14,7.84,4.75,8.38,7.92,9.43,9.97,7.11,9.98,16.25,11.8,6.72,15.02
a_1,2.12,2.4,2.63,2.41,2.05,10.52,9.04,8.24,10.06,10.9,12.14,9.6,17.88,11.63,7.95,16.82
h_1,2.34,2.75,3.08,2.5,2.5,2.36,18.69,11.2,10.0,10.03,10.29,11.31,13.21,13.44,12.13,25.94
g_1,2.14,3.69,1.98,2.47,2.4,2.4,8.38,18.64,10.16,11.24,11.81,16.93,16.93,14.12,11.19,13.77
d_0,2.3,1.75,2.13,4.62,2.65,2.69,9.12,8.65,17.65,7.52,8.58,11.9,17.86,13.05,10.08,18.34
c_0,2.51,2.85,2.82,2.02,1.76,2.33,9.75,9.74,10.13,19.21,22.29,12.6,20.87,13.05,17.55,16.16
b_0,2.24,2.72,2.86,2.38,1.62,1.93,9.76,8.97,11.46,12.2,21.58,12.43,21.03,12.78,27.1,20.05
f_0,1.99,2.87,1.79,2.85,2.39,2.82,8.79,10.03,13.47,9.95,11.44,21.35,20.62,25.56,12.15,21.66
h_0,2.02,2.8,3.44,2.53,2.34,2.7,6.24,12.01,11.49,10.66,13.17,11.33,11.76,13.84,12.37,22.37
e_0,1.55,3.04,2.68,2.75,2.68,2.97,8.83,10.63,11.96,10.53,11.78,10.89,22.02,27.36,13.81,21.82
a_0,2.23,2.63,2.73,2.81,2.83,1.35,10.08,9.23,12.48,10.04,13.98,13.25,20.83,14.88,29.64,20.67
g_0,2.17,3.6,2.24,2.63,2.26,2.2,10.06,7.91,10.43,11.51,10.56,17.25,21.3,16.56,12.78,13.59
