,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.37,1.68,1.29,1.04,0.99,0.94,2.01,2.06,1.82,2.29,2.22,1.32,2.48,1.81,2.49,2.31
e_1,1.17,2.38,1.2,0.95,1.12,1.06,2.23,4.29,2.67,2.45,2.96,2.93,3.37,2.01,3.35,3.15
c_1,1.03,1.07,2.52,1.26,1.89,1.09,2.04,1.86,2.16,1.05,1.82,2.16,2.61,2.07,2.06,3.09
d_1,1.24,1.26,0.9,2.68,1.01,0.9,2.48,1.47,1.92,4.1,2.84,2.38,3.46,2.96,2.56,3.05
b_1,1.1,1.07,0.93,1.22,2.75,2.18,1.87,2.56,1.87,2.45,1.33,2.84,3.29,2.78,2.01,2.95
a_1,1.35,1.1,1.16,1.36,0.8,3.22,2.26,2.74,2.14,2.24,2.86,2.57,3.44,3.04,1.89,3.19
h_1,1.59,1.13,1.23,1.18,1.32,1.08,3.97,2.38,2.99,2.77,2.5,2.55,2.29,3.18,2.32,3.87
d_0,1.4,0.9,2.24,0.92,1.3,0.96,2.66,3.8,2.78,2.25,2.7,2.41,3.65,3.37,3.03,3.83
g_1,1.27,0.93,1.19,1.85,1.3,1.27,2.22,2.43,4.53,2.95,2.93,3.42,3.01,3.22,2.5,2.8
c_0,1.48,1.28,1.27,1.22,0.88,1.17,2.34,2.84,2.47,4.12,5.22,3.42,3.41,2.83,3.23,3.24
b_0,1.51,1.23,1.43,1.25,1.21,0.96,2.81,2.66,2.58,2.18,4.39,2.91,3.14,2.84,4.74,3.67
f_0,0.96,1.02,1.48,1.35,1.31,1.34,2.65,3.07,2.49,2.42,2.75,4.55,3.58,4.7,2.48,3.54
h_0,1.52,1.19,1.34,1.18,1.22,1.23,1.76,2.55,3.07,2.99,2.75,2.5,2.77,3.28,2.45,4.98
e_0,1.55,0.61,1.78,1.12,1.37,1.35,2.64,2.3,2.38,2.96,2.77,2.83,3.56,5.03,2.27,3.76
a_0,1.3,1.14,1.6,1.16,1.33,0.87,2.65,2.81,2.78,2.78,2.35,2.88,3.82,3.46,5.06,4.33
g_0,1.17,1.08,1.39,1.79,1.34,1.08,2.39,2.43,1.93,2.72,2.48,4.0,2.73,3.08,2.31,2.69
