,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.53,0.93,1.28,0.89,0.95,0.8,1.16,1.8,1.14,1.08,1.18,1.27,1.3,1.04,0.92,1.2
f_1,1.46,1.54,1.02,0.95,0.82,0.76,0.99,1.28,1.08,0.95,1.17,0.89,1.13,0.96,0.82,1.1
c_1,0.9,1.04,1.56,1.02,1.44,0.88,1.2,1.07,0.95,1.04,0.83,1.07,1.29,0.98,1.02,1.18
d_1,1.08,1.1,0.84,1.58,0.88,0.88,1.14,1.06,1.67,1.0,1.48,1.16,1.23,1.22,1.06,1.17
b_1,0.98,1.21,0.92,1.02,1.65,1.49,1.24,1.09,1.24,1.09,0.93,1.07,1.27,0.89,1.15,1.11
a_1,1.15,1.33,1.17,1.06,0.84,1.75,1.32,1.32,1.37,1.16,1.37,1.12,1.43,0.86,1.02,1.24
h_1,1.24,1.59,1.19,1.35,1.07,1.01,1.89,1.39,1.4,1.72,1.46,1.37,1.28,1.23,1.38,1.67
d_0,1.12,1.3,1.87,1.11,1.38,1.06,1.47,1.78,1.25,1.32,1.49,1.4,1.69,1.32,1.43,1.44
c_0,1.43,1.41,1.29,1.34,0.99,1.11,1.45,1.71,1.84,1.26,2.25,1.4,1.6,1.46,1.39,1.55
g_1,1.19,1.14,1.27,1.72,1.19,1.07,1.27,1.5,1.59,1.99,1.51,1.97,1.53,1.33,1.52,1.4
b_0,1.42,1.29,1.6,1.3,1.1,0.94,1.54,1.68,1.35,1.4,1.87,1.6,1.69,2.01,1.25,1.74
f_0,1.17,1.31,1.39,1.33,1.43,1.24,1.71,1.65,1.53,1.33,1.47,1.89,1.75,1.37,2.12,1.47
h_0,1.37,1.67,1.37,1.48,1.25,1.04,1.51,1.55,1.6,1.59,1.5,1.37,1.58,1.4,1.37,1.74
a_0,1.39,1.42,1.47,1.4,1.39,0.98,1.61,1.81,1.62,1.67,1.41,1.8,1.75,1.91,1.35,1.62
e_0,1.25,1.55,1.43,1.54,1.28,1.15,1.58,1.6,1.58,1.57,1.72,1.39,1.76,1.63,1.9,1.42
g_0,1.28,1.27,1.36,1.82,1.38,1.15,1.6,1.41,1.63,1.3,1.47,2.03,1.7,1.43,1.64,1.57
