,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.46,15.89,40.4,28.33,43.59,27.41,11.12,6.35,11.45,7.56,8.06,8.2,3.44,6.37,,6.14
f_1,37.13,0.45,35.19,35.33,36.14,40.01,5.6,8.77,10.26,5.82,7.13,,2.8,7.61,6.6,4.78
d_1,38.1,29.82,0.44,34.44,29.73,33.92,9.31,10.2,7.57,,7.17,7.51,4.49,5.63,8.71,2.79
c_1,42.94,38.22,27.87,0.4,36.45,35.87,10.78,,9.99,4.23,9.59,6.9,5.27,10.01,8.51,5.14
b_1,41.23,53.26,46.4,20.03,0.37,41.65,12.29,8.71,8.21,8.33,,7.48,5.26,9.3,9.04,7.02
a_1,41.48,39.3,43.84,47.36,27.26,0.34,13.61,9.77,10.18,9.93,10.44,7.39,9.89,,,7.72
h_1,18.78,20.48,16.47,18.73,13.79,18.31,0.37,2.97,4.93,4.81,3.53,3.98,,3.5,2.52,3.44
c_0,14.84,13.45,8.64,,22.58,14.66,4.08,0.5,4.17,2.97,2.8,3.27,3.41,3.2,2.9,2.17
g_1,30.19,40.04,22.83,16.09,26.04,18.98,3.65,4.3,0.33,4.27,3.35,3.41,2.35,,3.81,
d_0,7.64,17.98,,25.09,15.83,25.96,3.7,5.21,4.7,0.5,3.1,2.39,2.12,2.61,4.0,2.01
b_0,19.6,17.99,19.53,20.1,,18.19,4.58,1.77,3.62,2.44,0.48,4.2,2.18,4.03,3.88,2.35
f_0,22.36,,18.69,13.41,13.64,15.66,4.38,3.04,3.58,4.08,3.54,0.45,2.02,4.68,3.72,1.93
h_0,12.31,13.61,12.58,14.06,10.3,14.66,,2.43,4.25,2.23,3.15,2.5,,1.94,2.12,1.47
a_0,23.29,19.42,19.22,27.85,28.05,,5.9,3.47,,5.39,1.89,5.31,4.2,0.39,4.03,2.06
e_0,,24.33,19.97,24.76,21.38,,6.28,3.88,6.02,5.48,4.55,2.29,3.3,3.93,0.36,2.62
g_0,13.17,17.96,17.78,12.44,16.39,15.96,4.15,2.48,,2.28,2.59,2.87,1.43,3.56,2.55,
