,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.25,0.89,1.04,0.86,0.83,0.58,0.63,0.56,0.66,0.58,0.54,0.53,0.47,0.42,0.6
e_1,0.8,1.0,0.9,1.1,1.1,0.86,0.78,0.7,0.65,0.89,0.67,0.71,0.64,0.63,0.7,0.62
d_1,1.09,1.08,1.0,0.92,0.9,0.85,0.66,0.58,0.8,0.67,0.68,0.63,0.6,0.58,0.54,0.44
c_1,0.97,0.93,1.08,1.0,1.35,0.79,0.68,0.58,0.56,0.48,0.52,0.56,0.59,0.58,0.51,0.58
b_1,1.15,0.92,1.12,0.76,1.0,1.26,0.73,0.76,0.84,0.65,0.73,0.6,0.54,0.76,0.69,0.62
a_1,1.21,1.13,1.19,1.23,0.78,1.0,0.95,0.82,0.81,0.82,0.86,0.75,0.75,0.7,0.71,0.71
h_1,1.73,1.32,1.52,1.46,1.31,1.08,1.0,1.21,0.89,0.85,0.92,0.81,0.74,0.87,0.79,0.9
g_1,1.6,1.39,1.75,1.68,1.32,1.22,0.85,1.0,0.85,0.82,0.89,1.06,0.8,0.71,0.91,0.77
c_0,1.75,1.53,1.26,1.78,1.18,1.19,1.11,1.18,1.0,1.18,1.37,0.92,0.99,0.92,1.01,0.86
d_0,1.45,1.15,1.52,2.04,1.57,1.28,1.16,1.24,0.8,1.0,0.97,0.9,0.88,0.93,0.8,0.99
b_0,1.68,1.5,1.5,1.98,1.31,1.16,1.09,1.13,0.76,1.02,1.0,1.03,1.32,0.97,0.94,0.82
f_0,1.82,1.48,1.57,1.89,1.53,1.3,1.2,0.97,1.1,1.12,0.94,1.0,0.95,1.1,1.34,0.76
a_0,1.89,1.62,1.71,1.78,1.9,1.28,1.4,1.19,0.95,1.07,0.8,1.05,1.0,1.17,0.99,0.99
h_0,2.07,1.66,1.77,1.7,1.34,1.42,1.12,1.38,1.07,1.08,1.03,0.92,0.85,1.0,0.98,1.1
e_0,2.39,1.41,1.83,1.87,1.52,1.44,1.35,1.14,1.04,1.26,1.05,0.75,0.97,0.93,1.0,0.96
g_0,1.66,1.55,2.24,1.68,1.68,1.4,1.12,1.32,1.15,1.0,1.11,1.37,1.05,0.87,1.04,1.0
