,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.37,0.26,0.34,0.3,0.26,0.24,0.45,0.83,0.45,0.53,0.71,0.7,0.75,0.68,,0.72
f_1,0.38,2.43,0.23,0.31,0.33,0.3,0.48,0.66,0.56,0.58,0.65,,0.65,0.76,0.42,0.83
c_1,0.21,0.37,2.5,0.27,0.46,0.26,0.54,0.55,0.58,,0.49,0.64,0.77,0.67,0.61,0.71
d_1,0.23,0.25,0.19,2.52,0.29,0.24,0.54,,0.59,1.18,0.52,0.78,0.8,0.71,0.52,0.69
b_1,0.29,0.22,0.26,0.28,2.72,0.5,0.53,0.61,0.56,0.6,,0.59,0.84,0.54,0.71,0.79
a_1,0.28,0.23,0.35,0.24,0.22,3.24,0.56,0.72,0.53,0.52,0.77,0.63,0.86,,0.65,0.77
h_1,0.5,0.76,0.59,0.55,0.51,0.61,3.93,0.9,1.28,1.05,1.15,0.73,,1.19,1.28,2.11
d_0,0.64,0.56,0.93,,0.63,0.51,1.81,3.51,0.92,1.09,1.54,1.47,2.06,0.8,1.32,1.13
g_1,0.64,0.56,0.44,0.62,0.45,0.53,0.93,1.32,4.33,1.17,1.31,1.51,1.15,1.12,1.34,
c_0,0.82,0.69,,0.5,0.52,0.8,1.38,1.5,1.12,3.6,1.71,1.3,1.59,1.54,1.12,1.65
b_0,0.64,0.49,0.68,0.8,,0.4,1.32,1.46,1.04,1.2,3.73,1.84,1.34,1.88,1.56,1.59
f_0,0.54,,0.55,0.47,0.72,0.63,1.57,1.47,1.41,1.52,1.03,3.88,1.76,1.83,2.23,1.54
h_0,0.73,1.07,0.73,0.78,0.71,0.52,,1.36,2.02,1.91,1.83,1.63,,1.35,1.54,2.43
a_0,0.7,0.44,0.56,0.71,0.64,,0.89,1.83,1.03,1.6,1.11,0.96,2.03,4.34,,2.14
e_0,,0.68,0.73,0.65,0.43,0.7,1.61,1.32,1.0,1.44,1.27,1.19,2.1,,4.52,1.91
g_0,0.61,0.73,0.82,0.97,0.66,0.56,0.97,1.77,,1.52,2.14,2.24,2.62,1.49,1.72,
