,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.74,1.08,1.09,1.11,0.93,0.53,0.41,0.51,0.48,0.39,0.49,0.31,0.39,0.52,0.35
f_1,1.15,0.65,1.02,1.11,0.94,0.98,0.37,0.39,0.46,0.38,0.37,0.46,0.26,0.34,0.28,0.32
d_1,1.1,1.22,0.64,1.02,1.01,0.97,0.48,0.47,0.35,0.5,0.37,0.37,0.31,0.36,0.42,0.24
c_1,0.98,1.15,1.43,0.62,1.24,1.02,0.55,0.5,0.58,0.28,0.43,0.39,0.34,0.36,0.38,0.31
b_1,1.23,1.35,1.27,0.78,0.6,1.41,0.58,0.5,0.5,0.44,0.5,0.42,0.37,0.42,0.45,0.39
a_1,1.46,1.37,1.29,1.3,0.74,0.58,0.66,0.56,0.6,0.53,0.68,0.56,0.47,0.83,0.48,0.44
h_1,1.63,2.01,1.68,1.77,1.55,1.34,0.55,0.58,0.87,0.65,0.63,0.61,0.62,0.58,0.56,0.54
c_0,1.97,2.2,1.26,2.48,1.87,1.73,0.91,0.56,0.85,0.82,0.8,0.65,0.6,0.7,0.6,0.54
g_1,1.93,2.19,2.03,1.78,1.92,1.51,0.69,0.64,0.53,0.65,0.69,0.72,0.45,0.66,0.6,0.6
d_0,1.36,1.91,2.19,2.33,2.11,1.86,0.92,0.69,0.94,0.59,0.77,0.64,0.58,0.67,0.68,0.6
b_0,2.06,2.05,1.84,2.07,2.47,1.5,0.9,0.5,0.83,0.68,0.56,0.65,0.54,0.92,0.66,0.53
f_0,1.9,2.79,1.99,2.06,2.06,1.6,0.87,0.7,0.66,0.78,0.73,0.55,0.67,0.75,0.79,0.46
h_0,2.15,2.38,2.06,2.23,2.09,1.76,1.16,0.78,1.16,0.78,0.91,0.77,0.75,0.7,0.64,0.66
a_0,2.21,2.52,2.02,2.7,2.46,1.98,1.02,0.71,0.92,0.83,0.48,0.7,0.69,0.53,0.69,0.57
e_0,2.6,3.38,1.99,2.47,2.07,1.68,0.98,0.84,0.97,0.87,0.84,0.5,0.73,0.8,0.53,0.61
g_0,2.19,2.54,2.41,2.47,2.21,2.05,0.85,0.84,1.37,0.77,0.91,0.92,0.62,0.83,0.76,0.76
