,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,24.19,0.68,0.34,0.34,0.28,0.3,0.63,0.74,0.76,0.8,0.16,0.78,0.55,0.91,0.59,0.97
e_1,0.31,23.71,0.29,0.36,0.39,0.37,0.72,1.65,0.72,0.83,0.85,0.81,0.85,0.97,0.15,0.72
d_1,0.31,0.45,27.49,0.26,0.25,0.4,0.65,0.18,0.66,1.67,0.88,0.97,0.69,0.77,0.9,0.9
c_1,0.35,0.23,0.28,28.15,0.74,0.33,0.77,0.96,0.53,0.12,0.79,0.66,0.77,0.93,0.93,1.08
b_1,0.4,0.25,0.36,0.34,31.15,0.74,0.68,0.67,0.72,0.64,1.0,0.13,0.78,0.8,0.96,0.72
a_1,0.38,0.29,0.32,0.37,0.37,48.44,0.79,0.83,0.68,0.75,0.7,0.91,0.26,0.66,0.81,0.72
h_1,0.9,0.58,0.72,0.66,0.59,0.45,9.34,1.26,1.6,1.46,1.39,1.37,1.34,0.49,1.22,2.01
d_0,0.71,0.57,0.19,1.8,0.56,0.44,1.5,4.95,1.26,1.22,1.65,1.4,1.47,1.92,1.55,1.67
g_1,0.39,0.58,1.3,0.54,0.57,0.71,1.33,1.2,12.58,1.16,1.81,1.76,1.27,1.83,1.54,0.61
c_0,1.02,0.51,0.63,0.18,0.58,0.57,1.83,1.24,1.97,5.83,1.86,3.6,2.38,1.93,1.42,1.55
f_0,0.26,0.56,0.77,0.86,0.54,0.58,1.72,1.69,1.62,1.58,6.41,1.93,2.13,2.27,4.21,1.66
b_0,0.82,0.55,1.0,0.67,0.24,0.32,1.54,1.18,1.23,1.76,1.68,6.93,4.2,1.91,1.57,1.63
a_0,0.78,0.75,0.8,0.58,0.56,,1.63,1.12,1.47,1.2,1.81,1.33,7.54,1.44,1.77,1.76
h_0,0.84,0.51,0.87,0.76,0.49,0.54,0.42,1.3,1.71,1.4,1.53,1.41,1.51,0.52,1.59,1.96
e_0,0.57,0.31,0.67,0.91,0.86,0.82,1.37,1.33,1.51,1.43,1.86,1.51,1.78,1.83,8.82,1.37
g_0,0.53,0.55,1.44,0.72,0.46,0.54,1.26,1.12,0.58,1.24,2.77,1.23,1.58,1.58,1.91,
