,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,19.56,30.6,36.21,30.32,24.37,8.82,6.67,9.71,6.28,6.41,7.5,5.15,5.9,,6.04
f_1,25.63,0.44,34.43,43.66,38.92,32.55,5.77,6.17,7.49,6.46,7.84,,3.24,7.33,7.42,6.18
c_1,24.52,29.98,0.44,46.51,37.26,38.74,10.02,3.43,12.03,,7.77,8.13,4.09,6.23,5.21,5.29
d_1,41.67,35.08,31.13,0.43,33.22,38.11,8.63,,7.1,6.49,5.58,5.19,5.55,6.77,7.24,2.79
b_1,67.15,43.0,21.93,26.65,0.4,54.39,10.67,6.34,9.22,6.63,,7.74,5.34,8.53,7.61,3.8
a_1,67.51,31.86,47.74,48.52,23.86,0.34,12.04,8.64,13.94,12.02,9.01,10.77,7.03,,5.69,5.62
h_1,17.57,19.79,20.8,14.24,22.84,15.66,0.35,3.15,4.89,2.98,4.24,4.32,,4.68,,3.01
d_0,8.19,13.66,14.44,,16.59,17.24,4.16,0.54,5.11,4.04,2.67,2.41,1.69,2.24,2.42,2.59
g_1,20.56,21.56,20.44,17.87,25.1,24.42,3.09,5.16,0.33,4.8,3.86,4.78,1.81,,5.02,
c_0,21.21,16.38,,7.68,17.71,17.63,3.71,3.4,3.7,0.5,3.58,3.81,1.97,,2.7,2.17
b_0,20.82,17.12,19.32,21.04,,12.98,7.05,2.79,3.39,1.44,0.45,2.91,3.14,,3.6,2.34
f_0,18.07,,17.35,19.48,16.76,21.46,4.53,3.44,3.77,3.13,3.26,0.43,2.05,,,1.61
h_0,13.79,11.72,10.72,11.44,10.38,11.97,,3.15,3.9,2.04,2.4,2.48,,2.32,2.22,1.59
a_0,22.19,26.18,21.68,20.99,20.19,,6.85,3.27,,,,,2.6,0.37,,2.84
e_0,,29.27,18.31,21.67,16.78,21.88,,4.44,7.13,4.83,3.83,,2.99,,0.38,2.41
g_0,13.96,19.76,16.9,15.68,12.45,12.22,3.0,3.67,,2.97,3.93,2.78,1.75,3.27,2.08,
