,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.35,0.16,0.17,0.15,0.07,0.15,0.16,0.16,0.12,0.15,0.04,0.16,0.1,0.07,0.11
e_1,0.25,0.89,0.14,0.18,0.16,0.12,0.16,0.3,0.14,0.11,0.18,0.12,0.19,0.1,0.05,0.13
d_1,0.22,0.2,0.89,0.14,0.16,0.09,0.15,0.07,0.34,0.12,0.17,0.17,0.18,0.14,0.1,0.15
c_1,0.2,0.18,0.18,0.88,0.3,0.1,0.14,0.15,0.05,0.11,0.11,0.12,0.15,0.11,0.1,0.12
b_1,0.18,0.2,0.13,0.18,0.88,0.21,0.19,0.17,0.14,0.12,0.07,0.15,0.18,0.06,0.09,0.14
a_1,0.21,0.19,0.23,0.18,0.13,0.87,0.17,0.17,0.14,0.15,0.12,0.14,0.17,0.04,0.11,0.12
h_1,0.37,0.17,0.23,0.22,0.16,0.11,0.56,0.19,0.18,0.2,0.19,0.13,0.09,0.15,0.11,0.2
d_0,0.27,0.19,0.11,0.42,0.18,0.12,0.23,0.42,0.15,0.17,0.17,0.15,0.22,0.13,0.12,0.14
c_0,0.32,0.26,0.22,0.15,0.13,0.13,0.21,0.17,0.44,0.17,0.37,0.16,0.21,0.18,0.14,0.17
g_1,0.21,0.22,0.35,0.23,0.16,0.09,0.17,0.2,0.17,0.55,0.2,0.27,0.2,0.09,0.12,0.08
b_0,0.31,0.2,0.27,0.25,0.07,0.1,0.21,0.26,0.19,0.14,0.43,0.13,0.2,0.29,0.12,0.15
f_0,0.17,0.15,0.28,0.27,0.2,0.11,0.27,0.19,0.26,0.16,0.21,0.43,0.21,0.15,0.25,0.19
h_0,0.39,0.22,0.24,0.19,0.18,0.17,0.09,0.19,0.17,0.2,0.19,0.15,0.12,0.09,0.1,0.21
a_0,0.31,0.23,0.24,0.24,0.17,0.04,0.25,0.2,0.25,0.16,0.22,0.15,0.21,0.39,0.1,0.16
e_0,0.24,0.12,0.24,0.25,0.19,0.15,0.28,0.2,0.24,0.14,0.21,0.14,0.22,0.13,0.36,0.21
g_0,0.26,0.17,0.4,0.2,0.15,0.15,0.2,0.15,0.22,0.1,0.25,0.24,0.2,0.12,0.14,0.11
