,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,16.72,1.18,0.44,0.49,0.5,0.5,0.98,0.85,0.92,0.84,0.34,0.85,0.88,0.65,1.01,0.71
e_1,0.63,17.2,0.68,0.44,0.44,0.62,0.79,0.73,2.02,0.83,1.06,1.03,0.87,0.48,0.98,0.99
c_1,0.52,0.43,18.68,0.52,1.23,0.37,0.97,0.84,0.84,0.32,0.93,0.59,1.07,1.06,0.86,1.0
d_1,0.63,0.44,0.4,21.05,0.51,0.39,0.9,0.86,0.39,2.43,1.05,1.01,1.08,0.96,0.85,1.25
b_1,0.5,0.46,0.61,0.48,21.78,1.31,0.93,0.7,0.71,0.74,0.8,0.33,0.8,0.92,0.79,0.84
a_1,0.53,0.62,0.64,0.55,0.41,34.49,0.79,0.97,0.84,0.58,1.08,1.22,0.93,1.24,0.36,0.75
h_1,1.01,0.6,0.67,0.73,0.57,0.6,5.24,1.62,1.0,0.99,1.02,1.03,0.6,1.3,0.92,1.5
g_1,0.56,0.46,0.59,1.52,0.61,0.64,0.88,7.16,0.94,1.15,2.09,1.29,1.03,1.09,1.24,0.62
d_0,0.63,0.7,1.73,0.25,0.65,0.77,0.95,1.16,2.69,0.77,1.32,1.23,1.27,1.11,1.34,1.1
c_0,0.88,0.67,0.42,0.9,0.36,0.68,0.99,1.13,1.17,3.41,1.21,3.57,1.52,1.36,1.38,1.66
f_0,0.33,0.49,0.88,0.9,0.78,0.74,1.06,1.03,1.33,1.17,4.13,1.45,1.42,2.94,0.94,1.16
b_0,0.69,0.68,0.67,1.04,0.25,0.44,1.07,1.45,1.17,1.26,1.16,4.44,1.69,1.17,3.11,1.2
h_0,0.98,0.64,0.72,0.81,0.66,0.55,0.68,1.81,1.16,1.19,1.17,1.26,0.78,1.21,1.5,1.78
e_0,0.79,0.25,0.74,0.86,0.71,0.72,1.07,1.38,1.05,1.57,1.45,1.9,1.56,5.05,1.46,1.35
a_0,0.68,0.58,0.83,0.97,0.57,0.33,1.36,1.28,1.11,1.23,1.03,1.36,1.48,0.99,5.02,1.53
g_0,0.52,0.57,0.57,1.38,0.75,0.59,0.97,0.71,0.89,1.22,2.31,1.34,1.45,1.61,1.24,0.72
