,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.3,0.27,0.2,0.18,0.17,0.18,0.47,0.13,0.86,0.31,0.58,0.51,0.52,0.43,0.4,0.48
f_1,0.21,2.28,0.42,0.23,0.19,0.17,0.45,0.46,0.51,0.29,0.42,0.07,0.67,0.26,0.21,0.44
e_1,0.2,0.26,2.35,0.21,0.2,0.14,0.35,0.95,0.44,0.35,0.36,0.41,0.65,0.36,0.08,0.47
c_1,0.24,0.18,0.21,2.4,0.39,0.1,0.41,0.51,0.1,0.39,0.34,0.48,0.59,0.42,0.39,0.63
b_1,0.23,0.2,0.21,0.23,2.56,0.32,0.48,0.55,0.35,0.37,0.12,0.48,0.46,0.25,0.45,0.34
a_1,0.23,0.33,0.21,0.21,0.13,2.98,0.33,0.42,0.49,0.36,0.48,0.46,0.62,0.14,0.31,0.57
h_1,0.42,0.57,0.29,0.39,0.34,0.32,2.79,0.72,0.74,0.72,0.73,0.69,0.3,0.63,0.7,0.89
d_0,0.08,0.38,0.35,0.83,0.35,0.4,0.62,2.23,0.76,0.54,0.99,0.67,1.09,0.7,0.58,0.89
c_0,0.45,0.37,0.41,0.19,0.32,0.36,0.84,0.86,2.29,0.64,1.53,1.0,1.09,0.82,0.69,1.06
g_1,0.64,0.35,0.24,0.34,0.4,0.3,0.59,0.69,0.78,3.14,0.78,1.23,1.04,0.38,0.6,0.47
b_0,0.41,0.47,0.31,0.47,0.13,0.24,0.91,0.8,0.99,0.79,2.56,0.92,1.25,1.46,0.86,0.91
f_0,0.58,0.13,0.35,0.45,0.37,0.21,0.69,0.87,1.06,0.83,0.9,2.41,1.22,0.75,1.89,0.82
h_0,0.41,0.54,0.33,0.37,0.32,0.36,0.25,0.81,0.87,1.0,0.92,0.77,0.37,0.78,0.62,1.31
a_0,0.48,0.5,0.42,0.42,0.27,0.12,0.89,0.75,0.82,0.73,0.94,0.7,0.99,2.88,0.65,0.78
e_0,0.48,0.43,0.19,0.41,0.41,0.26,0.62,0.79,1.18,0.8,0.65,1.0,1.35,0.74,2.94,0.99
g_0,0.77,0.34,0.29,0.32,0.36,0.29,0.57,0.64,0.78,0.29,0.76,1.21,0.91,0.66,0.8,0.54
