,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.73,1.06,0.98,0.7,0.58,0.47,0.68,0.36,0.41,0.41,0.38,0.33,0.43,0.35
f_1,1.34,1.0,0.98,1.02,0.79,0.76,0.38,0.43,0.34,0.4,0.28,0.38,0.28,0.31,0.28,0.28
d_1,1.37,1.02,1.0,0.9,0.91,0.71,0.55,0.41,0.42,0.58,0.39,0.42,0.42,0.35,0.28,0.22
c_1,0.94,0.98,1.11,1.0,1.44,0.83,0.54,0.4,0.34,0.31,0.38,0.36,0.41,0.39,0.35,0.35
b_1,1.02,1.26,1.1,0.69,1.0,1.21,0.44,0.47,0.47,0.51,0.42,0.4,0.39,0.29,0.36,0.36
a_1,1.44,1.31,1.41,1.2,0.83,1.0,0.71,0.65,0.54,0.55,0.53,0.62,0.45,0.44,0.51,0.39
h_1,1.66,2.59,1.89,1.9,2.26,1.34,1.0,1.05,0.86,0.65,0.69,0.86,0.64,0.59,0.62,0.81
g_1,2.14,2.31,2.4,2.47,2.16,1.46,0.96,1.0,0.7,0.95,1.01,0.82,0.5,0.64,0.61,0.53
d_0,1.47,2.93,2.32,3.09,2.04,1.88,1.29,1.34,1.0,0.88,0.84,0.87,0.77,0.71,0.7,0.85
c_0,2.59,2.67,1.81,3.62,1.99,1.85,1.5,1.08,1.08,1.0,1.19,1.21,0.8,0.94,0.7,0.81
f_0,2.19,3.52,2.57,2.64,2.49,1.77,1.42,0.95,1.19,0.82,1.0,0.88,0.84,0.77,1.18,0.67
b_0,2.2,2.79,2.39,2.96,2.86,1.53,1.13,1.33,1.11,0.77,1.22,1.0,1.01,1.17,0.88,0.83
h_0,2.59,3.63,2.52,2.59,2.55,2.1,1.62,1.98,1.31,1.16,1.22,0.96,1.0,0.95,0.76,1.02
a_0,2.9,3.34,2.76,2.63,3.67,,1.64,1.6,1.31,1.15,1.25,0.77,1.07,1.0,0.88,1.33
e_0,2.51,3.73,3.57,2.84,2.82,2.15,1.61,1.51,1.49,1.48,0.89,1.2,1.32,0.99,1.0,0.89
g_0,2.72,3.53,4.18,2.87,2.79,2.45,1.24,1.94,1.27,1.28,1.53,1.24,1.02,0.73,1.06,1.0
