,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.34,0.45,0.33,0.31,0.25,0.31,0.58,0.56,0.46,0.62,0.54,,0.68,0.4,0.69,0.43
e_1,0.29,2.35,0.22,0.18,0.25,0.26,0.55,0.96,0.58,0.58,0.64,0.69,0.88,,0.8,0.7
c_1,0.27,0.34,2.5,0.31,0.46,0.34,0.54,0.55,0.53,,0.52,0.56,0.8,0.5,0.51,0.84
d_1,0.31,0.32,0.22,2.64,0.23,0.22,0.59,,0.5,1.03,0.71,0.48,0.93,0.66,0.55,0.71
b_1,0.32,0.27,0.2,0.32,2.73,0.5,0.43,0.64,0.56,0.55,,0.69,0.84,0.67,0.45,0.8
a_1,0.27,0.29,0.24,0.33,0.19,3.21,0.58,0.67,0.5,,0.61,0.73,1.05,0.69,,
h_1,0.64,0.54,0.52,0.56,0.64,0.51,3.73,1.09,1.18,1.45,1.11,1.11,,1.21,0.99,1.62
d_0,0.68,0.53,1.04,,0.49,0.49,1.26,3.36,1.11,1.41,1.26,1.16,1.91,1.61,1.54,1.82
g_1,0.6,0.38,0.53,0.71,0.61,0.5,0.98,1.11,4.28,1.26,1.24,1.44,1.31,1.23,1.21,
c_0,0.65,0.62,,0.56,0.53,,1.04,1.05,1.16,3.62,2.64,1.79,1.8,1.33,1.39,1.72
b_0,0.61,0.73,0.54,0.47,,0.65,1.37,1.58,1.24,1.22,3.87,1.38,1.59,1.37,2.37,1.87
f_0,,0.47,0.66,0.77,0.64,0.5,1.29,1.88,1.28,1.04,1.5,4.07,1.4,2.28,,1.54
h_0,0.79,0.58,0.7,0.76,0.86,0.64,,1.72,1.75,2.07,1.8,1.78,,2.16,,3.03
e_0,0.55,,0.88,0.55,0.67,0.73,1.59,1.14,1.38,1.62,1.18,0.96,1.62,4.6,,1.64
a_0,0.54,0.54,0.76,0.59,0.74,,1.38,1.71,1.29,1.46,0.93,,,,4.71,
g_0,0.72,0.73,0.73,1.14,0.83,,1.44,1.57,,1.65,1.42,2.72,1.42,2.19,,
