,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.46,2.44,4.49,5.08,3.8,4.78,1.38,0.85,1.34,0.9,0.65,0.73,0.58,5.25,0.84,0.78
f_1,4.29,0.44,4.41,4.54,4.79,3.48,0.81,0.87,1.45,0.73,0.76,2.42,0.43,0.63,0.71,0.68
d_1,5.62,5.11,0.42,4.24,4.7,4.03,1.18,4.8,0.76,0.7,0.82,0.94,0.57,0.95,0.84,0.39
c_1,3.89,4.59,5.82,0.41,5.04,4.89,1.19,0.46,1.37,3.15,1.17,1.18,0.73,0.8,0.84,0.51
b_1,4.66,4.66,4.97,2.7,0.4,6.33,1.22,1.01,1.38,1.28,6.82,1.0,1.03,0.96,1.72,0.62
a_1,6.32,6.32,7.3,5.18,2.95,0.32,1.93,1.68,1.77,1.6,1.77,1.05,1.09,1.66,,1.61
h_1,5.37,5.36,4.67,4.89,5.26,4.67,0.35,1.27,1.92,0.97,0.99,0.92,1.79,0.85,0.99,0.75
d_0,2.67,6.67,12.87,7.52,5.71,5.22,1.56,0.45,1.92,1.54,1.3,1.06,0.72,0.96,1.2,0.79
g_1,5.51,7.07,5.3,5.68,5.4,6.7,1.29,1.24,0.32,1.18,1.24,0.92,0.62,1.17,0.85,1.89
c_0,7.03,6.47,2.65,23.28,9.23,3.92,1.92,1.4,1.62,0.42,1.16,1.12,0.79,1.04,1.2,0.8
b_0,5.51,5.66,4.41,7.01,25.77,5.57,1.74,1.39,2.04,0.7,0.4,1.05,0.86,1.13,0.95,1.16
f_0,5.94,22.35,4.88,6.15,5.44,6.55,2.32,1.1,1.08,1.35,1.32,0.39,1.03,1.01,1.68,0.65
h_0,6.54,7.4,6.5,7.25,6.03,7.47,6.93,1.68,2.07,1.39,1.54,1.5,2.09,1.48,1.18,1.16
e_0,13.56,8.84,6.16,11.18,7.94,6.67,2.66,1.77,1.7,1.39,1.21,0.71,1.0,0.34,1.11,1.01
a_0,6.51,7.3,7.38,8.23,10.98,,2.74,1.66,1.58,1.46,0.7,2.02,1.32,1.65,0.34,1.53
g_0,7.85,10.23,8.69,7.18,7.7,6.77,2.33,2.03,,1.51,1.92,1.48,0.86,1.51,1.69,3.05
