,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.65,1.02,0.94,0.88,0.87,0.77,0.35,0.44,0.37,0.33,0.39,0.33,0.24,0.3,0.31,0.3
e_1,0.71,0.65,1.09,0.95,0.97,0.82,0.42,0.47,0.42,0.35,0.41,0.34,0.3,0.39,0.37,0.29
c_1,1.01,0.8,0.64,1.16,1.07,0.75,0.44,0.42,0.24,0.37,0.34,0.32,0.3,0.34,0.32,0.28
d_1,1.02,1.08,0.96,0.63,1.02,0.87,0.41,0.31,0.44,0.39,0.34,0.33,0.28,0.3,0.29,0.22
b_1,1.13,1.06,0.7,1.12,0.62,1.31,0.51,0.49,0.35,0.47,0.39,0.5,0.31,0.35,0.34,0.29
a_1,1.3,1.2,1.42,1.31,0.72,0.56,0.58,0.57,0.48,0.47,0.48,0.57,0.44,0.44,0.5,0.39
h_1,1.69,1.6,1.5,1.5,1.38,1.32,0.53,0.71,0.56,0.6,0.59,0.6,0.51,0.52,0.5,0.47
g_1,1.84,1.71,1.76,1.88,1.61,1.28,0.62,0.51,0.57,0.62,0.69,0.55,0.4,0.55,0.51,0.5
d_0,1.63,1.25,2.24,1.88,1.79,1.44,0.76,0.85,0.56,0.58,0.65,0.59,0.54,0.59,0.55,0.48
c_0,1.86,1.84,2.44,1.25,1.79,1.76,0.79,0.73,0.8,0.53,0.68,0.71,0.57,0.62,0.64,0.48
f_0,2.06,1.64,1.9,1.85,1.72,1.35,0.8,0.58,0.61,0.68,0.53,0.64,0.58,0.61,0.57,0.37
b_0,1.87,1.98,2.26,1.64,1.98,1.47,0.82,0.85,0.71,0.45,0.63,0.53,0.56,0.58,0.69,0.48
h_0,2.16,1.97,1.95,1.92,1.84,1.67,0.92,0.92,0.72,0.65,0.69,0.62,0.61,0.65,0.58,0.54
e_0,2.68,2.57,1.96,1.99,1.98,1.76,0.94,0.78,0.81,0.67,0.53,0.8,0.64,0.52,0.67,0.44
a_0,2.06,2.02,2.18,2.33,2.19,2.09,0.96,0.97,0.74,0.7,0.76,0.48,0.59,0.72,0.53,0.52
g_0,2.19,2.15,2.22,2.08,2.09,2.05,0.83,0.99,0.85,0.77,0.85,0.81,0.57,0.74,0.71,0.69
