,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.68,6.83,5.33,5.29,5.78,6.43,2.28,2.53,1.8,1.91,1.75,,1.21,1.98,1.58,2.03
e_1,4.04,0.67,5.37,6.84,5.55,4.96,2.37,2.08,2.08,2.77,1.8,3.03,1.58,2.09,1.78,
d_1,6.42,7.93,0.66,4.72,4.95,4.84,2.49,2.39,2.13,,3.63,1.87,1.45,1.48,1.26,1.85
c_1,6.23,5.59,6.24,0.65,5.98,5.12,2.98,,2.14,1.51,2.39,1.81,1.53,1.77,1.98,2.08
b_1,6.2,7.04,5.46,4.6,0.62,7.52,3.04,2.89,2.18,2.24,,2.13,2.35,2.16,1.63,2.06
a_1,5.96,9.91,8.66,7.64,4.44,0.56,2.71,2.98,,3.79,2.98,2.43,2.5,,1.86,
h_1,5.21,5.3,4.5,4.17,4.24,4.64,0.62,1.61,2.13,1.78,2.62,1.72,,1.84,1.42,1.48
c_0,4.85,4.89,3.52,,4.39,4.0,2.14,0.7,2.09,1.9,2.07,1.52,1.34,1.72,1.49,1.23
g_1,7.84,6.75,5.8,6.58,6.81,,1.89,1.91,0.57,1.91,1.73,1.93,1.13,1.83,,
d_0,5.43,2.93,,5.19,4.8,3.32,2.15,1.73,3.26,0.71,1.65,1.78,1.45,1.73,1.65,1.44
b_0,5.41,5.48,4.58,5.64,,5.92,2.09,1.11,2.13,1.72,0.68,2.04,1.44,,1.45,2.01
f_0,,4.56,6.45,6.3,6.16,5.1,2.58,1.94,1.83,1.81,1.2,0.68,2.01,1.89,0.9,1.73
h_0,4.45,4.09,5.68,4.66,4.21,4.29,,1.5,2.82,1.68,1.7,1.46,,1.18,1.39,1.43
a_0,5.28,6.03,6.89,8.37,5.15,,3.41,2.27,2.96,1.73,,1.7,2.2,0.63,1.71,
g_0,4.8,4.7,5.09,4.08,5.94,6.04,1.64,2.12,,1.6,2.05,2.28,1.18,1.89,,1.44
e_0,7.24,,5.25,5.33,7.44,,3.18,2.35,,2.07,2.2,1.33,2.06,,1.96,0.61
