,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.65,0.08,0.07,0.05,0.07,0.07,0.26,0.7,0.44,0.25,0.46,0.43,0.5,0.41,,0.61
f_1,0.14,5.79,0.07,0.08,0.08,0.09,0.25,0.4,0.43,0.25,0.4,,0.59,0.35,0.38,0.5
c_1,0.07,0.09,6.17,0.07,0.15,0.08,0.27,0.39,,0.32,0.22,0.47,0.7,0.39,0.38,0.58
d_1,0.06,0.07,0.06,6.32,0.09,0.06,0.33,,0.71,0.36,0.4,0.42,0.61,0.45,0.41,0.52
b_1,0.07,0.09,0.07,0.08,7.79,0.18,0.3,0.32,0.3,0.31,,0.4,0.64,,0.46,0.7
a_1,0.05,0.1,0.1,0.09,0.06,10.19,0.31,0.46,0.55,0.24,0.23,0.36,0.49,,,0.53
h_1,0.34,0.4,0.28,0.31,0.27,0.3,15.19,1.53,1.33,1.2,1.01,1.23,,1.73,1.8,2.37
d_0,0.4,0.36,0.85,,0.32,0.36,1.44,10.91,2.0,1.2,2.23,1.87,3.83,2.06,1.75,2.18
c_0,0.36,0.37,,0.44,0.28,0.46,1.47,2.27,12.25,1.25,3.79,2.24,2.86,1.36,1.9,3.04
g_1,0.24,0.24,0.25,0.46,0.26,0.24,1.3,1.42,1.13,18.99,1.01,2.85,1.78,1.67,1.5,
b_0,0.41,0.41,0.4,0.43,,0.23,1.36,2.29,1.61,1.38,13.75,1.15,3.13,3.09,1.9,3.46
f_0,0.43,,0.44,0.24,0.4,0.32,2.11,1.87,2.1,1.39,1.99,15.24,2.51,2.16,3.39,3.33
h_0,0.51,0.71,0.53,0.65,0.78,0.41,,3.32,2.86,2.9,2.74,2.05,,2.6,3.0,6.04
a_0,0.52,0.4,0.35,0.32,0.28,,1.89,1.61,2.23,1.28,2.16,2.16,3.06,20.46,1.93,
e_0,,0.41,0.34,0.29,0.33,,1.54,2.14,2.32,2.25,1.9,2.34,3.33,2.28,21.52,3.05
g_0,0.53,0.48,0.58,1.18,0.59,0.46,2.28,2.08,2.14,,2.86,3.19,5.33,,3.05,
