,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.12,6.0,6.07,4.93,5.05,4.97,1.42,3.81,1.02,0.95,1.08,0.82,0.76,0.95,0.98,0.44
f_1,4.37,1.13,4.85,6.21,5.59,3.93,1.07,1.25,1.14,1.76,1.08,2.74,0.59,1.01,1.02,0.89
e_1,6.39,2.95,1.12,6.1,6.37,6.08,1.96,1.33,1.2,2.34,1.42,1.39,0.98,1.23,2.01,1.15
c_1,8.05,5.51,5.06,1.13,5.26,5.63,1.6,0.62,2.19,1.7,1.07,1.02,0.86,1.18,1.3,0.95
b_1,7.35,8.35,6.76,3.44,1.14,9.89,1.98,1.47,1.65,1.7,3.89,1.25,1.04,1.76,1.23,0.99
a_1,8.38,9.98,10.0,14.23,4.74,1.14,2.5,1.62,1.85,2.77,2.25,2.75,1.18,4.47,2.31,1.47
h_1,15.46,17.02,20.19,17.59,17.54,16.54,1.8,4.01,3.25,5.68,3.34,3.72,4.76,3.12,3.38,3.11
d_0,45.79,20.73,10.74,23.2,19.92,21.99,7.74,2.33,4.87,7.36,5.65,6.06,3.54,4.62,4.96,4.29
c_0,11.41,23.34,24.46,47.79,28.75,23.22,6.24,6.08,2.38,7.13,4.32,3.67,3.06,4.37,3.54,3.75
g_1,22.04,24.47,22.34,24.82,23.05,20.88,5.36,5.21,4.64,1.82,4.32,4.31,2.1,4.73,4.28,4.52
b_0,18.76,26.7,25.39,35.98,47.27,25.21,7.67,4.75,2.75,6.91,2.28,4.73,3.23,4.37,6.0,3.24
f_0,24.15,51.82,28.89,26.68,29.05,25.52,7.89,7.0,4.64,4.56,5.3,2.37,3.92,6.44,4.89,2.6
h_0,34.23,32.04,31.03,34.06,38.21,27.2,15.77,6.6,6.64,8.93,5.82,6.27,8.86,5.7,5.39,4.93
a_0,28.9,40.98,36.42,35.19,66.4,76.56,11.3,6.66,5.79,13.96,4.0,7.09,4.98,2.5,6.64,5.89
e_0,34.91,61.82,67.02,35.98,36.7,43.98,9.09,9.9,8.06,9.44,8.17,3.35,5.47,6.89,2.58,4.71
g_0,43.0,52.6,39.89,43.86,55.78,41.34,10.45,8.35,9.03,16.34,8.4,9.46,4.52,9.14,6.89,7.5
