,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,1.12,0.95,1.0,1.0,0.91,1.05,0.99,0.97,1.03,,0.99,0.98,0.87,0.89
e_1,0.86,1.0,1.11,0.95,1.17,0.75,1.15,1.29,1.12,0.96,1.0,1.1,0.81,0.96,,0.98
c_1,0.89,0.9,1.0,1.18,1.18,1.31,1.13,1.0,0.78,,1.1,0.87,0.99,0.78,1.14,1.08
d_1,1.06,1.05,0.85,1.0,1.18,0.88,0.89,0.79,,1.29,1.26,0.94,1.2,1.0,1.11,0.62
b_1,1.0,0.85,0.85,0.85,1.0,1.54,0.96,0.98,1.1,1.25,,1.1,0.98,0.92,0.92,1.13
a_1,1.0,1.33,0.76,1.14,0.65,1.0,1.26,1.12,1.18,0.96,1.03,0.92,1.0,,1.0,0.85
h_1,1.1,0.87,0.89,1.12,1.05,0.79,1.0,1.07,1.01,0.97,1.02,0.84,,0.93,1.0,1.25
g_1,0.96,0.77,1.0,1.26,1.02,0.89,0.93,1.0,0.98,0.86,0.96,1.29,0.73,,1.14,
d_0,1.01,0.89,1.28,,0.91,0.85,0.99,1.02,1.0,1.09,0.92,1.03,1.07,0.94,0.78,1.07
c_0,1.03,1.04,,0.77,0.8,1.05,1.03,1.16,0.92,1.0,1.34,0.81,1.22,1.03,0.88,1.07
b_0,0.97,1.0,0.91,0.79,,0.97,0.98,1.04,1.09,0.75,1.0,1.41,1.06,1.19,1.08,1.36
f_0,,0.91,1.15,1.06,0.91,1.09,1.2,0.77,0.97,1.23,0.71,1.0,1.1,,1.24,0.91
h_0,1.01,1.23,1.01,0.84,1.02,1.0,,1.38,0.94,0.82,0.94,0.91,,1.02,0.85,1.12
a_0,1.02,1.04,1.28,1.0,1.08,,1.07,,1.07,0.97,0.84,,0.98,1.0,,0.86
e_0,1.15,,0.88,0.9,1.09,1.0,1.0,0.87,1.28,1.13,0.92,0.81,1.18,,1.0,0.88
g_0,1.12,1.02,0.93,1.61,0.88,1.18,0.8,,0.94,0.94,0.73,1.1,0.89,1.17,1.13,
